,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.57,0.62,0.47,0.48,0.51,0.32,0.07,0.82,0.62,0.18,0.82,0.0,0.2,0.09,0.8
badtrinity-zero.csv,0.22,0.0,0.66,0.0,0.53,0.15,0.1,0.0,0.72,0.0,0.81,0.86,0.4,0.82,0.81
biodwh.csv,0.49,0.47,0.48,0.54,0.49,0.19,0.11,0.59,0.64,0.63,0.09,0.52,0.56,0.4,0.67
critterding.csv,0.5,0.61,0.59,0.43,0.44,0.14,0.14,0.65,0.73,0.81,0.83,0.73,0.31,0.79,0.73
elateportal.csv,0.53,0.58,0.54,0.55,0.6,0.24,0.1,0.77,0.65,0.32,0.98,0.81,0.23,0.82,0.75
enzo.csv,0.52,0.56,0.66,0.48,0.45,0.14,0.12,0.79,0.79,0.88,0.94,0.8,0.26,0.69,0.75
factor.csv,0.01,0.3,0.19,0.49,0.25,0.17,0.0,0.27,0.14,0.02,0.09,0.48,0.17,0.94,0.75
gusanos.csv,0.21,0.61,0.61,0.53,0.49,0.24,0.18,0.85,0.6,0.04,0.69,0.0,0.26,0.83,0.75
miranda.csv,0.0,0.0,0.49,0.0,0.54,0.13,0.0,0.0,0.49,0.0,0.91,0.85,0.17,0.04,0.77
modplug.csv,0.55,0.59,0.57,0.51,0.54,0.16,0.12,0.76,0.82,0.66,0.93,0.86,0.27,0.75,0.78
monetdb.csv,0.43,0.44,0.43,0.38,0.61,0.26,0.06,0.59,0.57,0.13,0.71,0.53,0.24,0.75,0.44
quarkplayer.csv,0.44,0.24,0.45,0.33,0.03,0.06,0.29,0.13,0.22,0.55,0.0,0.29,0.09,0.52,0.22
reactos-mirror.csv,0.62,0.66,0.58,0.52,0.58,0.18,0.11,0.67,0.75,0.7,0.93,0.85,0.29,0.08,0.8
sandiaportals.csv,0.49,0.59,0.55,0.54,0.52,0.18,0.13,0.72,0.64,0.42,0.0,0.86,0.18,0.79,0.72
xbplayer.csv,0.35,0.49,0.57,0.57,0.61,0.27,0.11,0.59,0.65,0.23,0.86,0.63,0.26,0.23,0.7
