,f1,g,recall,precision,pf,wins
alpine.csv,0.48,0.17,0.7,0.45,0.31,4
badtrinity-zero.csv,0.4,0.54,0.68,0.37,0.33,5
biodwh.csv,0.49,0.46,0.42,0.71,0.17,10
critterding.csv,0.61,0.57,0.77,0.62,0.65,11
elateportal.csv,0.58,0.54,0.79,0.56,0.6,8
enzo.csv,0.66,0.32,0.87,0.49,0.91,3
factor.csv,0.19,0.2,0.17,0.6,0.09,2
gusanos.csv,0.53,0.59,0.67,0.59,0.43,12
miranda.csv,0.13,0.02,0.17,0.18,0.17,0
modplug.csv,0.59,0.56,0.88,0.49,0.75,6
monetdb.csv,0.44,0.45,0.42,0.69,0.17,7
quarkplayer.csv,0.24,0.18,0.15,0.49,0.25,1
reactos-mirror.csv,0.62,0.59,0.69,0.62,0.45,14
sandiaportals.csv,0.54,0.57,0.68,0.5,0.4,9
xbplayer.csv,0.57,0.55,0.56,0.6,0.31,13
