,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.96,1.0,0.43,1.0,0.57,0.75,0.18,1.0,0.47,0.1,0.7,0.0,0.75,0.05,1.0
badtrinity-zero.csv,0.13,0.0,0.68,0.0,0.94,1.0,0.18,0.0,0.71,0.0,0.7,0.94,0.5,0.9,0.94
biodwh.csv,0.39,0.35,0.37,0.57,0.43,0.42,0.27,0.48,0.51,0.48,0.05,0.36,0.92,0.27,0.63
critterding.csv,0.6,0.59,0.78,0.67,0.81,0.83,1.0,0.6,0.65,0.75,0.77,0.66,0.92,0.83,0.83
elateportal.csv,0.77,0.79,0.52,0.86,0.83,0.92,0.64,0.76,0.65,0.22,0.95,0.87,0.75,0.9,0.84
enzo.csv,0.79,0.79,0.99,0.9,0.87,0.92,0.82,0.82,0.95,0.84,1.0,0.89,1.0,0.83,0.86
factor.csv,0.01,0.21,0.11,0.5,0.15,0.33,0.0,0.18,0.07,0.01,0.05,0.32,0.17,0.93,0.83
gusanos.csv,0.13,0.79,0.63,0.88,1.0,0.42,0.73,0.79,0.45,0.02,0.57,0.0,0.67,0.88,0.78
miranda.csv,0.0,0.0,0.41,0.0,0.81,0.75,0.0,0.0,0.42,0.0,0.89,1.0,0.17,0.02,0.77
modplug.csv,0.88,0.85,0.68,0.98,0.96,0.92,1.0,0.84,0.76,0.53,0.95,0.91,0.83,0.73,0.96
monetdb.csv,0.46,0.35,0.32,0.26,0.66,0.58,0.18,0.43,0.42,0.07,0.55,0.36,0.42,0.66,0.32
quarkplayer.csv,0.41,0.15,0.41,0.31,0.02,0.08,0.82,0.07,0.13,0.42,0.0,0.19,0.08,0.41,0.13
reactos-mirror.csv,0.62,0.71,0.59,0.69,0.81,0.75,0.64,0.63,0.71,0.6,0.93,1.0,0.5,0.05,1.0
sandiaportals.csv,0.53,0.71,0.52,0.83,0.68,0.5,0.73,0.69,0.49,0.29,0.0,0.79,0.33,0.73,0.74
xbplayer.csv,0.29,0.41,0.56,0.67,0.62,0.75,0.45,0.43,0.62,0.13,0.8,0.47,0.67,0.15,0.67
