,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.8,0.0,0.0,0.67,0.88,0.55,0.0,0.86,0.79,0.68,0.93,0.83,0.91,0.81,0.76,0.67,0.62
codeblocks.csv,0.37,0.51,0.42,0.46,0.67,0.53,0.59,0.38,0.5,0.58,0.51,0.64,0.97,0.49,0.66,0.41,0.41
ctrlr.csv,0.85,0.0,0.96,0.94,0.8,0.84,0.78,0.94,0.99,0.96,0.97,0.78,0.66,0.96,0.8,0.77,0.93
free-evolution.csv,0.33,0.26,0.48,0.5,0.35,0.41,0.63,0.37,0.45,0.44,0.52,0.37,0.58,0.42,0.42,0.49,0.38
fulguro.csv,0.43,0.43,0.97,0.75,0.35,0.53,0.74,0.76,0.84,0.57,0.73,0.44,0.72,0.9,0.85,0.66,0.38
gisgraphy.csv,0.89,0.0,0.74,0.64,0.67,0.88,0.84,0.45,0.74,0.68,0.69,0.9,0.93,0.91,0.95,0.57,0.71
ipfire-wall.csv,0.5,0.47,0.7,0.75,0.35,0.38,0.68,0.5,0.72,0.5,0.93,0.65,0.44,0.7,0.65,0.57,0.38
jruby.csv,0.53,0.26,0.83,0.75,0.52,0.43,0.0,0.5,0.99,0.86,0.67,0.51,0.57,0.58,0.6,0.5,0.58
l2j.csv,0.48,0.5,0.4,0.38,0.4,0.38,0.52,0.41,0.45,0.4,0.46,0.41,0.49,0.55,0.63,0.46,0.37
ldview.csv,0.55,0.26,0.87,0.68,0.51,0.46,0.92,0.38,0.53,0.54,0.67,0.54,0.61,0.61,0.73,0.6,0.39
libmesh.csv,0.96,0.0,0.66,0.66,0.9,0.61,0.0,0.94,0.99,0.91,0.66,0.59,0.87,0.96,0.75,0.82,0.94
red5.csv,0.39,0.47,0.44,0.49,0.44,0.47,0.49,0.38,0.44,0.6,0.54,0.45,0.4,0.47,0.48,0.42,0.31
t-2.csv,0.68,0.74,0.45,0.58,0.94,0.51,0.93,0.59,0.75,0.95,0.64,0.49,0.98,0.72,0.73,0.69,0.45
tencompetence.csv,0.82,0.44,0.94,0.5,0.84,0.81,0.76,0.86,0.57,0.52,0.74,0.93,0.66,0.72,0.67,0.76,0.67
vdsf.csv,0.46,0.99,0.49,0.63,0.35,0.45,0.59,0.42,0.7,0.51,0.55,0.6,0.42,0.51,0.49,0.56,0.35
xbrlapi.csv,0.49,0.0,0.86,0.55,0.43,0.52,0.83,0.69,1.0,0.48,0.92,0.9,0.98,0.0,0.99,0.53,0.64
xcf.csv,0.41,0.44,0.52,0.48,0.45,0.39,0.7,0.35,0.46,0.52,0.54,0.42,0.65,0.42,0.49,0.41,0.35
