,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.78,0.11,0.2,0.54,0.4,0.43,0.67,0.12,0.43,0.34,0.52,0.34,0.29,0.37,0.25
biodwh.csv,0.62,0.19,0.23,0.69,0.42,0.36,0.34,0.09,0.27,0.67,0.39,0.0,0.55,0.66,0.65
brlcad.csv,0.76,0.5,0.68,0.15,0.24,0.27,0.48,0.12,0.33,0.0,0.24,0.92,0.28,0.0,0.13
delphilhlplib.csv,0.76,0.53,0.89,0.54,0.5,0.37,0.61,0.19,0.34,0.7,0.58,0.96,0.23,0.69,0.56
exordium.csv,0.76,0.37,0.58,0.59,0.57,0.38,0.56,0.37,0.39,0.52,0.7,0.33,0.31,0.75,0.54
fltk.csv,0.77,0.24,0.6,0.71,0.53,0.37,0.51,0.25,0.32,0.62,0.67,0.95,0.29,0.49,0.67
gzigzag.csv,0.75,0.22,0.41,0.36,0.41,0.42,0.36,0.13,0.4,0.7,0.44,0.44,0.26,0.71,0.32
jcache.csv,0.74,0.44,0.87,0.58,0.45,0.36,0.42,0.86,0.38,0.66,0.69,0.95,0.32,0.87,0.83
mimosa.csv,0.73,0.42,0.89,0.58,0.39,0.41,0.42,0.91,0.34,0.79,0.69,0.96,0.23,0.68,0.52
moast.csv,0.28,0.4,0.36,0.5,0.31,0.36,0.26,0.49,0.17,0.66,0.27,0.98,0.25,0.5,0.53
mptvseries.csv,0.73,0.47,0.0,0.42,0.52,0.29,0.65,0.15,0.0,0.56,0.51,0.0,0.22,0.21,0.39
ogre.csv,0.13,0.29,0.68,0.59,0.25,0.38,0.31,0.97,0.23,0.7,0.66,0.89,0.26,0.44,0.69
qdvdauthor.csv,0.52,0.38,0.38,0.64,0.39,0.31,0.62,0.55,0.17,0.59,0.79,0.84,0.1,0.63,0.57
sauerbraten.csv,0.8,0.39,0.64,0.72,0.4,0.41,0.55,0.99,0.27,0.69,0.81,0.95,0.23,0.6,0.69
zxing.csv,0.74,0.17,0.79,0.69,0.34,0.41,0.47,0.28,0.38,0.54,0.7,0.25,0.34,0.76,0.83
