,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.86,0.36,0.95,0.83,0.0
chaperon.csv,0.03,0.02,0.11,0.0,0.25
mule.csv,0.01,0.08,0.18,0.23,0.0
springside.csv,0.52,0.01,0.57,0.48,0.25
swtfox.csv,0.27,0.77,0.0,0.44,0.25
