,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.78,0.75,0.95,0.69,0.56
google-gears.csv,0.57,0.95,0.53,0.37,0.98
httpcontentparser.csv,0.04,0.9,0.0,0.06,0.26
qse.csv,0.78,0.75,0.47,0.97,0.47
xmemcached.csv,0.96,0.4,0.37,0.63,0.4
