,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.25,0.2,0.05,0.39,0.3,0.05,0.0,0.21,0.19,0.04,0.06,0.19,0.08,0.2,0.0
arianne.csv,0.26,1.0,1.0,0.98,0.96,0.71,0.97,1.0,0.54,0.95,0.93,0.96,0.95,0.27,0.94
auber.csv,0.34,0.6,1.0,0.77,0.43,0.27,0.72,0.05,0.57,0.25,0.6,0.99,0.55,0.47,0.5
bl-toolkit.csv,0.73,0.6,0.14,0.41,0.91,0.98,0.85,0.98,0.97,0.89,1.0,0.37,1.0,1.0,0.72
growl-for-windows.csv,0.01,0.2,0.05,0.74,0.11,0.0,0.13,0.13,0.41,0.2,0.38,0.0,0.37,0.33,0.11
keyczar.csv,0.26,0.0,0.0,0.03,0.26,0.68,0.18,0.35,0.08,0.25,0.34,0.0,0.02,0.2,0.39
kml.csv,0.58,0.8,0.32,0.91,0.89,0.68,0.23,0.87,0.49,0.71,0.46,0.99,0.91,0.27,0.89
knowledge.csv,0.36,0.0,0.59,0.56,0.54,0.97,0.56,0.42,0.76,0.67,0.69,0.93,0.57,0.33,0.56
les-indemodables.csv,0.52,0.2,0.5,0.3,0.33,0.34,0.33,0.57,0.16,0.42,0.17,0.8,0.29,0.27,0.56
lportal.csv,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.02,0.01,0.19,0.32,0.0,0.0
lufa-lib.csv,0.6,1.0,0.55,0.83,0.78,0.63,0.56,0.6,0.59,0.51,0.31,0.67,0.85,0.6,0.44
micomt.csv,0.88,1.0,0.86,0.76,0.63,0.17,0.49,0.82,0.65,0.69,0.34,0.94,0.8,0.27,0.78
sigil.csv,0.29,0.4,0.23,0.08,0.52,0.07,0.0,0.33,0.19,0.25,0.17,0.56,0.54,0.13,0.11
ultimairis.csv,0.41,0.2,0.55,0.21,0.2,0.17,1.0,0.19,0.03,0.18,0.83,0.99,0.03,0.0,0.22
voms.csv,0.35,0.4,1.0,0.15,0.07,0.03,0.33,0.04,0.27,0.15,0.21,0.99,0.51,0.07,0.17
