,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.98,0.48,0.75,0.88,0.45,0.89,0.0,0.89,0.51,0.93,0.95,1.0,0.9,0.75,0.0
arianne.csv,0.48,0.42,0.42,0.53,0.41,0.49,0.36,0.4,0.51,0.39,0.54,0.38,0.49,0.91,0.44
auber.csv,0.48,0.42,0.42,0.49,0.39,0.73,0.37,0.95,0.47,0.48,0.56,0.38,0.52,0.44,0.59
bl-toolkit.csv,0.39,0.51,0.5,0.53,0.43,0.42,0.41,0.42,0.46,0.47,0.52,0.46,0.48,0.43,0.34
growl-for-windows.csv,0.0,0.33,0.83,0.55,0.88,0.0,0.53,0.69,0.41,0.47,0.39,0.0,0.43,0.38,0.68
keyczar.csv,0.74,0.0,0.0,0.75,0.71,0.44,0.9,0.6,0.8,0.95,0.76,0.0,0.75,0.41,0.45
kml.csv,0.5,0.41,0.55,0.57,0.39,0.47,0.44,0.4,0.43,0.39,0.58,0.38,0.49,0.41,0.51
knowledge.csv,0.45,0.42,0.47,0.48,0.47,0.41,0.41,0.5,0.46,0.43,0.56,0.4,0.49,0.5,0.52
les-indemodables.csv,0.44,0.35,0.45,0.52,0.41,0.46,0.33,0.43,0.41,0.4,0.61,0.38,0.53,0.39,0.54
lportal.csv,0.9,0.92,0.67,0.0,0.0,0.0,0.9,0.0,0.83,0.9,0.75,0.73,0.57,0.0,0.0
lufa-lib.csv,0.64,0.45,0.53,0.63,0.43,0.62,0.51,0.6,0.55,0.6,0.76,0.46,0.48,0.51,0.62
micomt.csv,0.41,0.41,0.46,0.67,0.48,0.86,0.5,0.45,0.47,0.44,0.59,0.4,0.52,0.63,0.51
sigil.csv,0.6,0.37,0.61,0.83,0.4,0.91,0.67,0.48,0.46,0.49,0.72,0.44,0.48,0.78,0.77
ultimairis.csv,0.45,0.4,0.43,0.65,0.58,0.89,0.36,0.66,0.8,0.6,0.5,0.38,0.89,0.5,0.64
voms.csv,0.49,0.41,0.43,0.78,0.67,0.86,0.51,0.93,0.49,0.65,0.62,0.38,0.56,0.0,0.89
