,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.27,0.58,0.11,0.29,0.61,0.55,0.0,0.36,0.73,0.32,0.16,0.03,0.21,0.41,0.0
arianne.csv,0.71,0.94,0.82,0.22,0.46,0.38,0.65,0.46,0.75,0.72,0.6,0.08,0.53,0.24,0.77
auber.csv,0.59,0.93,0.82,0.24,0.49,0.51,0.69,0.45,0.72,0.79,0.62,0.08,0.58,0.76,0.3
bl-toolkit.csv,0.62,0.87,0.82,0.24,0.47,0.27,0.65,0.41,0.72,0.57,0.6,0.16,0.53,0.86,0.62
growl-for-windows.csv,0.0,0.76,0.18,0.22,0.21,0.0,0.51,0.33,0.74,0.42,0.36,0.0,0.55,0.68,0.75
keyczar.csv,0.26,0.0,0.0,0.31,0.27,0.04,0.13,0.13,0.07,0.12,0.16,0.0,0.15,0.83,0.52
kml.csv,0.64,0.91,0.76,0.23,0.49,0.39,0.75,0.49,0.83,0.76,0.56,0.08,0.56,0.73,0.68
knowledge.csv,0.6,0.92,0.75,0.26,0.45,0.31,0.67,0.36,0.77,0.68,0.56,0.08,0.55,0.64,0.39
les-indemodables.csv,0.58,0.76,0.67,0.29,0.51,0.31,0.74,0.43,0.7,0.71,0.29,0.09,0.6,0.63,0.7
lportal.csv,0.11,0.32,0.11,0.0,0.0,0.14,0.39,0.0,0.17,0.23,0.05,0.24,0.53,0.0,0.0
lufa-lib.csv,0.44,0.79,0.77,0.2,0.53,0.33,0.6,0.44,0.72,0.59,0.63,0.1,0.56,0.72,0.46
micomt.csv,0.63,0.95,0.78,0.21,0.42,0.69,0.59,0.51,0.78,0.69,0.52,0.08,0.53,0.45,0.77
sigil.csv,0.64,0.87,0.64,0.13,0.6,0.58,0.15,0.49,0.84,0.6,0.43,0.12,0.56,0.25,0.69
ultimairis.csv,0.6,0.7,0.77,0.23,0.51,0.52,0.65,0.62,0.14,0.59,0.6,0.08,0.3,0.08,0.3
voms.csv,0.58,0.92,0.8,0.59,0.0,0.5,0.69,0.35,0.77,0.56,0.44,0.08,0.61,0.0,0.58
