,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.5,0.57,0.67,0.79,0.49,0.67,0.7,0.48,0.72,0.42,0.71,0.51,0.79,0.83,0.41,0.76,0.0,0.47,0.0,0.59
alleg.csv,0.54,0.53,0.42,0.9,0.51,0.54,0.96,0.39,0.52,0.47,0.52,0.71,0.56,0.38,0.6,0.45,0.42,0.45,0.47,0.8
biodwh.csv,0.52,0.54,0.89,0.6,0.56,0.5,0.98,0.62,0.67,0.45,0.72,0.61,0.7,0.47,0.94,0.74,0.47,0.53,0.39,0.44
factor.csv,0.97,0.96,0.68,0.0,0.49,0.87,0.89,0.79,0.96,0.8,0.55,0.9,0.96,0.43,0.0,0.94,0.56,0.51,0.48,0.86
iaml.csv,0.62,0.72,0.83,0.5,0.82,0.47,0.57,0.94,0.79,0.89,0.67,0.5,0.65,0.89,0.93,0.45,0.51,0.67,0.64,0.57
icescrum.csv,0.56,0.47,0.62,0.46,0.44,0.63,0.68,0.58,0.64,0.43,0.62,0.47,0.56,0.52,0.56,0.43,0.61,0.41,0.35,0.63
jbasic.csv,0.47,0.51,0.62,0.51,0.62,0.45,0.57,0.84,0.47,0.75,0.4,0.39,0.54,0.38,0.0,0.38,0.39,0.47,0.35,0.68
jcache.csv,0.38,0.46,0.4,0.41,0.8,0.45,0.44,0.46,0.44,0.42,0.56,0.43,0.51,0.39,0.39,0.45,0.49,0.7,0.48,0.41
ktc.csv,0.41,0.55,0.42,0.43,0.53,0.37,0.51,0.47,0.52,0.36,0.57,0.52,0.5,0.35,0.44,0.61,0.44,0.69,0.35,0.52
moast.csv,0.84,0.92,0.93,0.43,0.4,0.45,0.44,0.42,0.96,0.4,0.77,0.57,0.85,0.36,0.44,0.34,0.45,0.88,0.43,0.61
natpad.csv,0.5,0.51,0.57,0.86,0.48,0.55,0.8,0.41,0.52,0.56,0.5,0.48,0.6,0.4,0.7,0.38,0.41,0.47,0.4,0.42
nebuladevice.csv,0.61,0.66,0.47,0.98,0.57,0.0,0.73,0.69,0.78,0.75,0.56,0.65,0.49,0.59,0.42,0.68,0.93,0.49,0.0,0.9
nosleepsoftware.csv,0.98,0.98,0.57,0.93,0.0,0.93,0.8,0.88,0.89,0.0,0.91,0.87,0.7,0.88,0.92,0.9,0.89,0.86,0.92,0.75
pixel-commandos.csv,0.97,0.98,0.5,0.92,0.52,0.95,0.92,0.98,0.93,0.5,0.0,0.92,0.9,0.86,0.98,0.91,0.95,0.0,0.86,0.67
riff-evolve.csv,0.43,0.55,0.69,0.54,0.38,0.51,0.54,0.54,0.57,0.31,0.62,0.58,0.57,0.41,0.39,0.31,0.95,0.44,0.49,0.37
rosegarden.csv,0.39,0.51,0.41,0.46,0.64,0.35,0.49,0.43,0.45,0.44,0.61,0.37,0.56,0.39,0.57,0.57,0.43,0.5,0.39,0.41
smarttag.csv,0.38,0.47,0.48,0.7,0.58,0.7,0.62,0.7,0.49,0.44,0.49,0.45,0.41,0.41,0.54,0.44,0.75,0.44,0.0,0.52
wxcode.csv,0.44,0.59,0.8,0.45,0.5,0.47,0.68,0.63,0.51,0.86,0.67,0.44,0.74,0.62,0.93,0.92,0.54,0.8,0.67,0.43
xined.csv,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.43
zemljanka.csv,0.44,0.44,0.45,0.43,0.43,0.44,0.4,0.57,0.53,0.44,0.47,0.37,0.44,0.52,0.39,0.35,0.48,0.4,0.44,0.53
