,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.87,0.16,0.43,0.97,0.74,0.86,0.68,0.78,0.52,0.81,1.0,0.75,0.8,0.66,0.13,0.59,0.79,0.78,0.75
autat.csv,0.95,0.12,0.15,0.51,0.32,0.48,0.53,0.53,0.08,0.5,0.26,0.43,0.54,0.16,0.42,0.36,0.45,0.4,0.4
brlcad.csv,0.95,0.77,0.57,0.07,0.16,0.28,0.32,0.2,0.06,0.44,0.0,0.29,0.26,0.08,0.68,0.17,0.28,0.26,0.15
delphilhlplib.csv,0.95,0.64,0.87,0.41,0.95,0.62,0.53,0.59,0.1,0.56,0.55,0.53,0.43,0.5,0.71,0.38,0.45,0.53,0.45
exordium.csv,0.9,0.33,0.75,0.44,0.74,0.69,0.53,0.71,0.08,0.5,0.47,0.44,0.09,0.37,0.74,0.39,0.43,0.54,0.45
fltk.csv,0.92,0.38,0.64,0.66,0.74,0.69,0.53,0.53,0.13,1.0,0.89,0.57,0.89,0.39,0.26,0.56,0.55,0.67,0.6
google-web-toolkit.csv,0.49,0.08,0.53,0.47,0.47,0.48,0.11,0.37,0.08,0.5,0.87,0.42,0.11,0.45,0.1,0.33,0.31,0.71,0.38
gzigzag.csv,0.79,0.1,0.4,0.39,0.63,0.55,0.21,0.69,0.11,0.38,0.39,0.23,0.43,0.47,0.1,0.33,0.28,0.37,0.25
irrlicht.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.73,1.0,1.0,0.97,1.0,1.0,0.02,1.0
mimosa.csv,0.85,0.99,0.98,0.54,0.84,0.93,0.58,0.49,0.89,1.0,0.82,0.65,0.77,0.84,0.97,0.8,0.96,0.73,0.75
mptvseries.csv,0.82,0.73,0.04,0.52,0.58,0.31,0.74,0.57,0.07,0.19,0.74,0.34,0.77,0.39,0.29,0.35,0.51,0.26,0.45
ogre.csv,0.08,0.35,0.64,0.58,0.47,0.86,0.42,0.61,0.95,0.5,0.66,0.62,0.43,0.95,0.9,0.58,0.78,0.62,0.68
openfrag.csv,0.97,0.83,0.83,0.64,0.89,0.59,0.63,0.94,0.25,0.88,0.87,0.56,0.46,0.71,0.32,0.74,0.61,0.76,0.52
qdvdauthor.csv,0.38,0.83,0.49,0.8,0.63,0.45,0.84,0.57,0.39,0.38,0.61,0.67,1.0,0.37,0.35,0.77,0.76,0.39,0.8
qse.csv,0.69,0.23,0.62,0.8,0.74,0.9,0.63,0.92,0.18,0.44,0.66,0.68,0.8,0.61,0.71,0.35,0.45,0.65,0.45
sauerbraten.csv,0.79,0.35,0.58,0.99,0.84,0.93,1.0,0.82,0.95,0.94,0.95,0.79,0.97,0.92,0.58,0.88,0.93,0.89,0.98
toped.csv,0.95,0.5,0.6,0.79,0.84,0.83,0.84,0.78,0.54,0.75,0.95,0.72,0.97,0.26,0.48,0.68,0.75,0.75,0.78
truevision.csv,0.9,0.01,0.47,0.84,0.84,0.41,0.74,0.76,0.17,0.62,0.39,0.6,0.06,0.71,0.65,0.5,0.55,0.62,0.68
zoolib.csv,0.9,0.15,0.66,0.42,0.68,0.66,0.47,0.59,0.13,0.56,0.37,0.46,0.29,0.42,0.68,0.27,0.54,0.42,0.38
