,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.38,0.44,0.5,0.56,0.44,0.52,0.86,0.0,0.48,0.16,0.13,0.05,0.13
ivef-sdk.csv,0.57,0.61,0.6,0.68,0.49,1.0,0.26,0.06,0.53,0.56,0.0,0.0,0.34
jmri.csv,0.4,0.27,0.67,0.12,0.13,0.62,0.43,0.55,0.42,0.37,0.54,0.44,0.17
jython.csv,0.51,0.36,0.2,0.56,0.18,0.57,0.24,0.86,0.42,0.12,0.54,0.18,0.24
kdenlive.csv,0.68,0.53,0.56,0.38,0.58,0.13,0.36,0.05,0.62,0.43,0.68,0.65,0.5
opentibia.csv,0.34,0.77,0.46,0.45,0.55,0.05,0.52,0.45,0.09,0.04,0.67,0.43,0.2
projectfactory.csv,0.52,0.53,0.57,0.12,0.59,0.07,0.59,0.0,0.65,0.59,0.64,0.4,0.59
runuomondains.csv,0.57,0.5,0.5,0.38,0.46,0.12,0.24,0.7,0.66,0.0,0.77,0.6,0.29
somap.csv,0.13,0.29,0.52,0.46,0.51,0.0,0.42,0.0,0.0,0.49,0.27,0.86,0.0
taverna.csv,0.28,0.26,0.17,0.2,0.71,0.09,0.68,0.25,0.24,0.57,0.43,0.34,0.52
tigermud.csv,0.39,0.41,0.49,0.52,0.34,0.0,0.04,0.19,0.04,0.16,0.53,0.55,0.63
unbvision.csv,0.61,0.46,0.54,0.23,0.25,0.0,0.27,0.13,0.72,0.41,0.65,0.14,0.27
x-ray-mule.csv,0.34,0.33,0.49,0.8,0.61,0.01,0.2,0.17,0.26,0.51,0.15,0.38,0.5
