,springside.csv,columba.csv,xtreemfs.csv,kdenlive.csv,owlib.csv,glelite.csv,magicwars.csv,bigdata.csv,xmemcached.csv
bigdata.csv,0.47,0.56,0.94,0.71,0.42,0.99,0.84,0.91,0.28
columba.csv,0.33,0.51,0.88,0.79,0.56,1.0,0.32,0.86,0.29
glelite.csv,0.45,0.29,0.77,0.77,0.4,1.0,0.41,0.88,0.3
kdenlive.csv,0.52,0.46,0.81,0.8,0.45,1.0,0.62,0.89,0.48
magicwars.csv,0.46,0.29,0.86,0.65,0.4,0.98,0.79,0.88,0.26
owlib.csv,0.52,0.49,0.81,0.8,0.59,1.0,0.55,0.91,0.37
springside.csv,0.62,0.38,0.87,0.75,0.47,1.0,0.82,0.91,0.28
xmemcached.csv,0.39,0.3,0.85,0.56,0.42,0.97,0.37,0.88,0.65
xtreemfs.csv,0.34,0.58,0.95,0.69,0.44,1.0,0.34,0.92,0.27
