,springside.csv,columba.csv,xtreemfs.csv,kdenlive.csv,owlib.csv,glelite.csv,magicwars.csv,bigdata.csv,xmemcached.csv
bigdata.csv,0.51,0.38,0.68,0.42,0.38,0.84,0.54,0.67,0.34
columba.csv,0.54,0.66,0.65,0.69,0.59,0.27,0.09,0.48,0.53
glelite.csv,0.75,0.21,0.37,0.75,0.13,0.98,0.68,0.13,0.61
kdenlive.csv,0.47,0.7,0.39,0.73,0.63,0.78,0.46,0.61,0.71
magicwars.csv,0.76,0.13,0.54,0.0,0.05,0.0,0.66,0.5,0.53
owlib.csv,0.28,0.66,0.38,0.65,0.7,0.26,0.49,0.56,0.71
springside.csv,0.76,0.71,0.64,0.62,0.53,0.74,0.54,0.68,0.55
xmemcached.csv,0.33,0.17,0.38,0.42,0.59,0.0,0.63,0.55,0.69
xtreemfs.csv,0.45,0.4,0.83,0.61,0.62,0.55,0.58,0.54,0.51
