,springside.csv,columba.csv,xtreemfs.csv,kdenlive.csv,owlib.csv,glelite.csv,magicwars.csv,bigdata.csv,xmemcached.csv
bigdata.csv,0.47,0.33,0.67,0.38,0.34,0.89,0.49,0.78,0.3
columba.csv,0.59,0.64,0.98,0.69,0.57,0.23,0.97,0.55,0.91
glelite.csv,0.92,0.95,0.5,0.82,0.95,0.97,0.75,0.97,0.78
kdenlive.csv,0.43,0.71,0.36,0.75,0.8,0.74,0.41,0.78,0.7
magicwars.csv,0.9,0.97,0.93,1.0,1.0,1.0,0.62,0.85,0.74
owlib.csv,0.24,0.65,0.35,0.63,0.71,0.22,0.44,0.55,0.78
springside.csv,0.76,0.84,0.88,0.62,0.51,0.69,0.49,0.78,0.57
xmemcached.csv,0.29,0.97,0.95,0.56,0.75,0.75,0.7,0.67,0.65
xtreemfs.csv,0.84,0.35,0.85,0.87,0.77,0.49,0.75,0.52,0.83
