,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.62,0.49,0.57,0.97,0.86,0.36,0.38,0.89,0.98,0.91,0.47,0.93,0.55
grafx2.csv,0.39,0.45,0.51,0.39,0.76,0.43,0.4,0.54,0.26,0.32,0.51,0.41,0.52
jahshakafx.csv,0.3,0.45,0.51,0.52,0.68,0.47,0.4,0.63,0.56,0.35,0.45,0.57,0.58
kftpgrabber.csv,0.38,0.69,1.0,0.96,0.65,0.56,0.81,0.6,0.72,0.91,0.32,0.59,0.7
kindb.csv,0.37,0.61,0.47,0.44,0.61,0.44,0.66,0.96,0.61,0.24,0.44,0.86,0.55
maya-work-in-progress.csv,0.64,0.56,0.46,0.6,0.65,0.65,0.27,0.59,0.56,0.45,0.52,0.57,0.56
netatalk.csv,0.72,0.8,0.8,0.99,0.63,0.6,0.75,0.57,0.37,0.57,0.67,0.49,0.56
nullc.csv,0.54,0.99,1.0,0.98,0.28,0.54,0.69,0.65,0.44,0.58,0.88,0.73,0.62
plee-the-bear.csv,0.39,0.6,0.35,0.92,1.06,0.87,0.46,0.58,0.82,0.65,0.51,0.72,0.67
reaper-ecad.csv,0.61,0.84,0.94,0.38,0.8,0.67,0.97,1.0,1.0,0.94,0.74,0.86,0.83
unimrcp.csv,0.42,0.59,0.51,0.69,0.59,0.49,0.53,0.38,0.52,0.39,0.47,0.47,0.6
unladen-swallow.csv,0.73,0.6,0.57,0.96,0.77,0.67,0.54,0.43,0.6,0.62,0.53,0.53,0.87
xmoto.csv,0.47,0.52,0.47,0.92,0.53,0.47,0.56,0.69,0.42,1.0,0.5,1.0,0.36
