,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.48,0.47,0.47,0.54,0.75,0.55,0.49,0.83,0.0,0.67,0.48,0.0,0.46
grafx2.csv,0.37,0.44,0.48,0.62,0.53,0.51,0.52,0.44,0.35,0.35,0.52,0.47,0.43
jahshakafx.csv,0.35,0.44,0.4,0.39,0.37,0.4,0.46,0.85,0.41,0.28,0.38,0.29,0.42
kftpgrabber.csv,0.39,0.8,0.94,0.83,0.42,0.49,0.86,0.81,0.57,0.67,0.41,0.58,0.71
kindb.csv,0.35,0.54,0.43,0.46,0.39,0.47,0.62,0.0,0.45,0.34,0.37,0.67,0.39
maya-work-in-progress.csv,0.45,0.49,0.43,0.61,0.44,0.39,0.49,0.37,0.42,0.39,0.43,0.39,0.43
netatalk.csv,0.49,0.47,0.46,0.53,0.46,0.39,0.47,0.57,0.33,0.38,0.47,0.53,0.5
nullc.csv,0.43,0.49,0.4,0.53,0.5,0.47,0.83,0.7,0.4,0.54,0.43,0.65,0.61
plee-the-bear.csv,0.37,0.56,0.49,0.92,0.47,0.37,0.5,0.36,0.57,0.44,0.35,0.38,0.41
reaper-ecad.csv,0.71,1.0,0.96,0.62,0.6,0.96,0.0,0.0,0.0,0.5,0.88,0.67,0.83
unimrcp.csv,0.37,0.48,0.47,0.58,0.42,0.44,0.5,0.44,0.42,0.32,0.4,0.53,0.45
unladen-swallow.csv,0.78,0.57,0.67,0.88,0.62,0.52,0.55,0.4,0.43,0.47,0.48,0.37,0.9
xmoto.csv,0.41,0.51,0.49,0.67,0.5,0.52,0.61,0.49,0.37,0.44,0.43,0.42,0.5
