,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.55,0.31,0.16,0.23,0.24,0.65,0.69,0.18,0.05,0.16,0.58,0.13,0.57
grafx2.csv,0.64,0.32,0.17,0.39,0.4,0.59,0.68,0.49,0.82,0.83,0.54,0.58,0.6
jahshakafx.csv,0.7,0.34,0.18,0.31,0.49,0.59,0.69,0.5,0.58,0.78,0.58,0.49,0.53
kftpgrabber.csv,0.63,0.27,0.0,0.07,0.52,0.48,0.31,0.51,0.42,0.16,0.7,0.46,0.44
kindb.csv,0.63,0.23,0.19,0.36,0.58,0.58,0.49,0.07,0.54,0.86,0.61,0.24,0.57
maya-work-in-progress.csv,0.54,0.27,0.2,0.33,0.86,0.48,0.78,0.51,0.75,0.74,0.55,0.51,0.64
netatalk.csv,0.51,0.23,0.12,0.23,0.62,0.53,0.6,0.46,0.75,0.84,0.48,0.52,0.59
nullc.csv,0.52,0.2,0.11,0.23,0.84,0.52,0.45,0.4,0.73,0.68,0.49,0.32,0.51
plee-the-bear.csv,0.64,0.28,0.26,0.11,0.69,0.4,0.66,0.52,0.57,0.7,0.57,0.43,0.53
reaper-ecad.csv,0.51,0.2,0.07,0.41,0.33,0.45,0.06,0.0,0.0,0.11,0.35,0.24,0.29
unimrcp.csv,0.63,0.26,0.17,0.29,0.59,0.57,0.59,0.59,0.63,0.8,0.59,0.55,0.54
unladen-swallow.csv,0.36,0.3,0.21,0.06,0.38,0.38,0.58,0.56,0.55,0.55,0.52,0.49,0.22
xmoto.csv,0.58,0.28,0.19,0.15,0.68,0.56,0.53,0.36,0.72,0.81,0.54,0.42,0.72
