,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,471.5,99.0,21157.0,904.0,394.0,197.0,387.0,197.5,292.0,99.0,196.5
libtorrent.csv,97.5,99.0,15561.5,283.5,395.0,196.0,575.0,196.5,193.0,198.0,196.5
mcmc-jags.csv,196.0,99.0,18868.0,189.0,197.5,197.0,386.0,97.5,291.5,99.0,196.5
natpad.csv,196.0,194.0,18496.0,175.0,197.5,97.5,477.5,197.5,290.5,198.0,97.5
nebuladevice.csv,466.5,685.5,99.0,175.0,94.5,97.5,277.5,384.0,94.5,99.0,221.0
olap-navigator.csv,97.5,99.0,10864.0,283.5,195.5,93.5,174.0,196.5,94.5,99.0,97.5
pidgin.csv,97.5,95.5,14699.0,168.0,197.5,191.0,457.5,197.5,94.5,99.0,97.5
salasaga.csv,196.0,194.0,10174.0,175.0,197.5,197.0,477.5,197.5,190.0,99.0,97.5
sepgsql.csv,97.5,194.0,6616.0,212.5,98.5,93.5,378.0,196.5,51.5,99.0,97.5
xstore.csv,97.5,95.5,22052.0,175.0,395.0,196.0,285.5,197.5,679.5,198.0,196.5
xtreemfs.csv,196.0,99.0,19963.5,188.0,296.5,197.0,476.5,196.5,475.0,99.0,97.5
