,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.19,0.54,0.81,0.57,0.74,0.69,0.22,0.44,0.31,0.86,0.49,0.78,0.52,0.18,0.4
firebird.csv,0.19,0.56,0.77,0.66,0.72,0.75,0.26,0.44,0.28,0.66,0.51,0.65,0.4,0.23,0.38
flylegacy.csv,0.15,0.62,0.84,0.61,0.74,0.63,0.24,0.46,0.22,0.7,0.55,0.6,0.51,0.21,0.29
gzigzag.csv,0.22,0.68,0.8,0.54,0.79,0.85,0.29,0.66,0.5,0.83,0.52,1.0,0.65,0.32,0.52
hydrogen.csv,0.19,0.46,0.74,0.52,0.68,0.48,0.21,0.49,0.46,0.54,0.39,0.65,0.52,0.33,0.22
mcore3d.csv,0.14,0.65,0.8,0.53,0.78,0.74,0.26,0.69,0.41,0.71,0.59,0.57,0.66,0.2,0.32
nabu-library.csv,0.09,0.3,0.79,0.58,0.7,0.59,0.5,0.29,0.28,0.67,0.45,0.69,0.81,0.21,0.21
ogrehg.csv,0.31,0.57,0.74,0.68,0.74,0.75,0.29,0.44,0.28,0.8,0.61,0.79,0.4,0.27,0.48
qgo.csv,0.15,0.84,0.74,0.54,0.72,0.57,0.27,0.51,0.25,0.52,0.44,0.66,0.69,0.2,0.29
qtractor.csv,0.21,0.47,0.81,0.68,0.74,0.6,0.31,0.58,0.2,0.75,0.5,0.69,0.69,0.23,0.35
rhex.csv,0.33,0.5,0.76,0.54,0.65,0.52,0.22,0.43,0.27,0.52,0.4,0.5,0.47,0.14,0.3
rocrail.csv,0.22,0.69,0.74,0.66,0.74,0.64,0.24,0.48,0.31,0.56,0.54,0.5,0.57,0.25,0.49
webdriver.csv,0.21,0.56,0.84,0.58,0.75,0.68,0.28,0.74,0.24,0.79,0.58,0.71,0.32,0.24,0.36
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
yield.csv,0.15,0.55,0.74,0.59,0.76,0.79,0.24,0.47,0.27,0.56,0.5,0.72,0.44,0.18,0.31
