,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.29,0.66,0.7,0.64,0.69,0.64,0.35,0.59,0.42,0.57,0.55,0.79,0.68,0.26,0.53
firebird.csv,0.26,0.59,0.64,0.61,0.71,0.62,0.39,0.57,0.39,0.67,0.55,0.74,0.44,0.38,0.48
flylegacy.csv,0.23,0.66,0.74,0.61,0.73,0.69,0.38,0.61,0.35,0.75,0.58,0.35,0.65,0.33,0.44
gzigzag.csv,0.27,0.72,0.52,0.42,0.44,0.41,0.34,0.51,0.53,0.29,0.35,0.24,0.56,0.44,0.59
hydrogen.csv,0.31,0.63,0.85,0.69,0.81,0.65,0.31,0.65,0.57,0.7,0.56,0.79,0.68,0.15,0.35
mcore3d.csv,0.23,0.61,0.62,0.46,0.75,0.67,0.4,0.57,0.42,0.53,0.53,0.32,0.3,0.31,0.47
nabu-library.csv,0.09,0.15,0.37,0.66,0.73,0.45,0.29,0.29,0.4,0.4,0.43,0.42,0.84,0.28,0.29
ogrehg.csv,0.32,0.62,0.53,0.49,0.7,0.73,0.42,0.5,0.38,0.67,0.64,0.44,0.44,0.4,0.57
qgo.csv,0.26,0.87,0.84,0.67,0.72,0.64,0.41,0.6,0.38,0.66,0.53,0.77,0.7,0.32,0.45
qtractor.csv,0.26,0.34,0.53,0.51,0.75,0.65,0.41,0.65,0.32,0.75,0.58,0.65,0.56,0.37,0.47
rhex.csv,0.49,0.61,0.7,0.49,0.32,0.46,0.3,0.43,0.35,0.47,0.41,0.05,0.56,0.17,0.36
rocrail.csv,0.32,0.64,0.73,0.57,0.61,0.65,0.35,0.59,0.42,0.6,0.53,0.18,0.71,0.33,0.62
webdriver.csv,0.28,0.69,0.68,0.65,0.72,0.73,0.36,0.73,0.37,0.64,0.58,0.66,0.32,0.38,0.48
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0
yield.csv,0.25,0.65,0.79,0.65,0.77,0.76,0.39,0.64,0.41,0.6,0.6,0.72,0.54,0.29,0.47
