,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.4,0.37,0.76,0.5,0.7,0.53,0.92,0.44,0.83,0.46,0.47,0.68,0.53,0.39,0.56,0.36,0.78,0.42,0.68
auber.csv,0.48,0.39,0.34,0.37,0.37,0.47,0.41,0.46,0.29,0.48,0.43,0.44,0.48,0.52,0.33,0.4,0.48,0.41,0.51
cortex-vfx.csv,0.54,0.64,0.4,0.48,0.74,0.76,0.84,0.62,0.39,0.48,0.78,0.49,0.54,0.69,0.59,0.44,0.88,0.4,0.59
empserver.csv,0.44,0.33,0.35,0.45,0.62,0.58,0.55,0.52,0.75,0.44,0.46,0.65,0.44,0.42,0.89,0.37,0.62,0.43,0.49
flylegacy.csv,0.61,0.48,0.41,0.49,0.66,0.71,0.88,0.4,0.37,0.43,0.62,0.46,0.44,0.62,0.4,0.4,0.56,0.48,0.73
galaxium.csv,0.39,0.33,0.5,0.36,0.51,0.49,0.52,0.35,0.4,0.44,0.43,0.5,0.46,0.45,0.4,0.31,0.53,0.48,0.52
growl-for-windows.csv,0.0,0.0,0.92,0.32,0.0,0.0,0.88,0.33,0.34,0.55,0.0,0.51,0.47,0.88,0.32,0.39,0.64,0.34,0.69
k3d.csv,0.7,0.7,0.94,0.39,0.7,0.87,0.39,0.46,0.83,0.92,0.0,0.69,0.72,0.97,0.88,0.48,0.5,0.88,0.49
libarchive.csv,0.45,0.35,0.63,0.33,0.38,0.45,0.33,0.34,0.31,0.41,0.4,0.38,0.41,0.38,0.31,0.32,0.43,0.39,0.44
linux-ntfs.csv,0.41,0.38,0.36,0.36,0.48,0.94,0.5,0.4,0.3,0.41,0.44,0.45,0.53,0.6,0.34,0.41,0.33,0.35,0.47
m-a-d-n-e-s-s.csv,0.46,0.42,0.46,0.67,0.85,0.71,0.36,0.0,0.67,0.57,0.61,0.86,0.69,0.94,0.88,0.53,0.67,0.8,0.47
novembre.csv,0.63,0.51,0.97,0.64,0.89,0.93,0.51,0.5,0.86,0.92,0.56,0.89,0.94,0.97,0.75,0.56,0.75,0.48,0.51
qtwin.csv,0.99,0.88,0.95,0.5,0.95,1.0,0.0,0.8,0.86,0.75,0.98,0.86,0.75,0.47,0.86,0.53,0.67,0.67,0.0
st-filteredstatistics.csv,0.46,0.34,0.35,0.36,0.44,0.54,0.45,0.39,0.36,0.43,0.46,0.41,0.56,0.44,0.35,0.38,0.45,0.5,0.52
tweetsharp.csv,0.69,0.89,0.86,0.6,0.87,0.61,0.8,0.4,0.35,0.62,0.86,0.65,0.56,0.54,0.45,0.92,0.74,0.5,0.89
unladen-swallow.csv,0.59,0.58,0.98,0.39,0.57,0.53,0.36,0.43,0.53,0.59,0.57,0.59,0.93,0.52,0.86,0.5,0.64,0.57,0.51
wishmaster.csv,0.81,0.4,0.74,0.54,0.67,0.59,0.58,0.63,0.89,0.62,0.54,0.58,0.95,0.63,0.54,0.0,0.38,0.67,0.89
