,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.29,0.42,0.3,0.22,0.35,0.13,0.62,0.35,0.03,0.19,0.25
google-gears.csv,0.61,0.5,0.62,0.15,0.8,0.13,0.65,0.0,0.2,0.22,0.62
grafx2.csv,0.6,0.03,0.47,0.43,0.57,0.27,0.65,0.54,0.7,0.5,0.44
kmess.csv,0.45,0.95,0.42,0.27,0.49,0.16,0.02,0.57,0.17,0.36,0.16
megameknet.csv,0.48,0.71,0.47,0.33,0.45,0.0,0.42,0.46,0.51,0.23,0.44
minig.csv,0.75,0.18,0.63,0.0,0.6,0.24,0.73,0.76,0.24,0.2,0.81
ns-3.csv,0.01,0.34,0.62,0.49,0.62,0.51,0.76,0.51,0.39,0.61,0.56
omseek.csv,0.01,0.45,0.05,0.47,0.0,0.53,0.11,0.03,0.07,0.39,0.03
quickfast.csv,0.41,0.84,0.87,0.34,0.49,0.41,0.49,0.38,0.52,0.32,0.03
sylpheed-claws.csv,0.29,0.29,0.02,0.32,0.33,0.29,0.38,0.32,0.35,0.32,0.34
xamj.csv,0.57,0.05,0.3,0.59,0.58,0.54,0.82,0.35,0.34,0.0,0.72
