,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.76,0.45,0.52,0.51,0.17,0.27,0.65,0.8,0.97,0.44,0.72
google-gears.csv,0.68,0.51,0.54,0.43,0.13,0.48,0.68,1.0,0.63,0.49,0.65
grafx2.csv,0.66,0.98,0.52,0.43,0.14,0.35,0.62,0.77,0.44,0.38,0.7
kmess.csv,0.65,0.53,0.34,0.38,0.14,0.46,0.99,0.74,0.54,0.32,0.76
megameknet.csv,0.63,0.59,0.61,0.38,0.12,1.0,0.59,0.73,0.54,0.46,0.6
minig.csv,0.65,0.7,0.47,1.0,0.16,0.33,0.65,0.75,0.53,0.43,0.59
ns-3.csv,0.99,0.68,0.52,0.45,0.13,0.25,0.62,0.8,0.58,0.32,0.66
omseek.csv,0.9,0.29,0.77,0.35,1.0,0.13,0.67,0.93,0.72,0.35,0.75
quickfast.csv,0.74,0.54,0.48,0.49,0.14,0.34,0.71,0.84,0.54,0.47,0.98
sylpheed-claws.csv,0.7,0.72,0.97,0.54,0.17,0.36,0.67,0.82,0.6,0.45,0.69
xamj.csv,0.72,0.86,0.52,0.43,0.12,0.24,0.62,0.77,0.52,1.0,0.6
