,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.1,0.04,0.29,0.02,1.0,0.4,0.2,0.07,0.12,0.11,0.2,0.17,0.24,0.45,0.13,0.0,0.14
codeblocks.csv,0.52,1.0,0.49,0.6,0.48,0.8,0.85,0.63,0.96,1.0,0.8,0.9,0.88,0.03,0.83,0.73,0.33
grisbi.csv,0.86,0.66,0.83,0.95,0.76,0.93,0.94,0.81,0.46,0.78,1.0,0.52,0.53,0.74,0.91,0.69,0.61
libmesh.csv,0.55,0.51,0.51,0.58,0.76,0.07,0.18,0.54,0.92,0.67,0.2,0.46,0.54,0.87,0.48,0.28,0.64
panda3d.csv,0.07,0.27,0.31,0.16,0.29,0.43,0.17,0.12,0.08,0.22,0.6,0.94,0.31,0.42,0.43,0.31,0.16
proftp.csv,0.26,0.22,0.49,0.26,0.14,0.97,0.27,0.43,0.15,0.0,0.4,0.23,0.06,0.29,0.39,0.22,0.19
red5.csv,0.6,0.58,0.57,1.0,0.43,0.2,0.24,0.45,0.73,0.56,0.6,0.58,0.81,0.23,0.61,0.58,0.4
skia.csv,0.33,0.26,0.57,0.51,0.33,0.23,0.23,0.24,0.15,0.11,0.2,0.08,0.21,0.68,0.96,0.37,0.4
soar.csv,0.79,0.88,0.66,0.79,0.71,0.8,0.92,0.68,0.92,1.0,0.8,0.69,0.67,1.0,0.78,0.85,0.81
super-tux.csv,0.69,0.98,0.69,0.91,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.96,1.0,0.67
t-2.csv,0.21,0.37,0.17,0.09,0.43,0.3,0.02,0.91,0.54,0.56,0.2,0.42,0.26,0.26,0.17,0.26,0.23
tart.csv,0.02,0.02,0.03,0.0,0.05,0.03,0.05,0.0,0.04,0.0,1.0,0.02,0.07,0.39,0.04,0.02,0.08
tcvp.csv,0.02,0.23,0.11,0.16,0.1,0.07,0.14,0.01,0.15,1.0,0.6,0.12,0.12,0.23,0.09,0.01,0.3
tencompetence.csv,0.38,0.05,0.43,0.49,0.1,0.03,0.06,0.1,0.35,0.0,0.0,0.27,0.39,0.45,0.13,0.05,0.97
utgb.csv,0.14,0.31,0.94,0.37,0.19,0.27,0.11,0.56,0.38,0.33,0.0,0.33,0.32,0.58,0.3,0.21,0.25
xbrlapi.csv,1.0,0.26,0.31,0.37,0.57,0.13,0.38,0.18,0.42,0.11,0.0,0.46,0.22,0.55,0.39,0.49,0.22
zemljanka.csv,0.98,0.78,0.91,0.86,0.71,0.97,0.92,0.99,0.92,0.78,0.8,1.0,0.46,0.81,0.96,1.0,0.82
