,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.86,0.83,0.86,0.8,0.86,0.69,0.93,0.99,0.77,0.7,0.91,0.94,0.87,0.44,0.9,0.0,0.97
codeblocks.csv,0.34,0.44,0.38,0.42,0.49,0.48,0.4,0.42,0.54,0.36,0.41,0.48,0.46,0.0,0.39,0.38,0.47
grisbi.csv,0.35,0.39,0.33,0.31,0.37,0.31,0.31,0.42,0.37,0.35,0.35,0.43,0.44,0.3,0.34,0.37,0.37
libmesh.csv,0.63,0.67,0.72,0.49,0.63,0.93,0.95,0.74,0.9,0.62,0.64,0.67,0.76,0.39,0.59,0.9,0.7
panda3d.csv,0.89,0.65,0.93,0.86,0.92,0.55,0.91,0.99,0.89,0.89,0.94,0.78,0.76,0.52,0.8,0.61,0.97
proftp.csv,0.61,0.69,0.39,0.75,0.75,0.45,0.68,0.58,0.53,0.0,0.94,0.71,0.83,0.69,0.56,0.78,0.68
red5.csv,0.47,0.59,0.51,0.44,0.69,0.96,0.89,0.51,0.66,0.45,0.42,0.66,0.52,0.9,0.48,0.66,0.69
skia.csv,0.68,0.75,0.55,0.54,0.7,0.92,0.76,0.88,0.78,0.75,0.94,0.93,0.76,0.42,0.64,0.68,0.76
soar.csv,0.38,0.43,0.48,0.4,0.49,0.45,0.37,0.48,0.56,0.38,0.38,0.53,0.49,0.52,0.39,0.51,0.49
super-tux.csv,0.45,0.41,0.42,0.32,0.44,0.41,0.35,0.48,0.49,0.36,0.35,0.45,0.44,0.0,0.37,0.45,0.44
t-2.csv,0.94,0.77,0.86,0.9,0.81,0.64,0.75,0.99,0.91,0.41,0.75,0.87,0.96,0.81,0.94,0.98,0.98
tart.csv,0.86,0.67,0.0,0.0,0.8,0.0,0.67,0.89,0.0,0.0,0.8,0.5,0.86,0.62,0.67,0.83,0.96
tcvp.csv,0.5,0.93,0.83,0.92,0.86,0.83,0.9,0.67,0.9,0.89,0.93,0.9,0.92,0.83,0.8,0.67,0.71
tencompetence.csv,0.79,0.88,0.74,0.47,0.95,0.86,0.83,0.83,0.66,0.0,0.87,0.73,0.64,0.46,0.94,0.9,0.63
utgb.csv,0.82,0.84,0.55,0.65,0.96,0.76,0.88,0.69,0.93,0.86,0.95,0.67,0.81,0.4,0.86,0.77,0.92
xbrlapi.csv,0.51,0.82,0.74,0.61,0.7,0.89,0.64,0.84,0.6,0.92,0.81,0.72,0.91,0.38,0.65,0.74,0.96
zemljanka.csv,0.37,0.42,0.36,0.31,0.42,0.41,0.32,0.45,0.47,0.38,0.38,0.45,0.48,0.34,0.37,0.45,0.43
