,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.0,1.0,0.0,2.0,0.0,1.0,0.0,42.0,0.0,11.0,1.0,0.0,0.0,1.0,3.0,210.0,1.0
codeblocks.csv,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,17.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0
grisbi.csv,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,8.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0
libmesh.csv,0.0,5.0,2.0,0.0,0.0,2.0,0.0,88.0,0.0,11.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0
panda3d.csv,1.0,0.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
proftp.csv,1.0,1.0,0.0,0.0,4.0,0.0,0.0,17.0,3.0,82.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
red5.csv,0.0,5.0,2.0,0.0,0.0,2.0,0.0,43.0,0.0,30.0,41.0,3.0,0.0,0.0,4.0,0.0,0.0
skia.csv,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,3.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0
soar.csv,0.0,5.0,2.0,0.0,4.0,2.0,0.0,45.0,0.0,18.0,12.0,3.0,0.0,0.0,5.0,0.0,1.0
super-tux.csv,0.0,5.0,2.0,0.0,0.0,2.0,0.0,160.0,0.0,19.0,11.0,3.0,0.0,55.0,7.0,0.0,0.0
t-2.csv,0.0,4.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,19.0,16.0,3.0,0.0,0.0,3.0,0.0,0.0
tart.csv,1.0,1.0,0.0,71.0,2.0,0.0,0.0,818.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tcvp.csv,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
tencompetence.csv,0.0,1.0,2.0,0.0,7.0,5.0,1.0,80.0,0.0,82.0,93.0,2.0,0.0,1.0,2.0,0.0,0.0
utgb.csv,4.0,0.0,0.0,0.0,0.0,4.0,0.0,92.0,0.0,4.0,93.0,1.0,0.0,0.0,4.0,0.0,0.0
xbrlapi.csv,0.0,4.0,4.0,0.0,3.0,1.0,0.0,71.0,1.0,9.0,93.0,3.0,0.0,0.0,1.0,0.0,0.0
zemljanka.csv,0.0,1.0,1.0,0.0,0.0,2.0,0.0,68.0,0.0,19.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0
