,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.16,0.08,0.41,0.04,1.0,0.52,0.32,0.08,0.15,0.06,0.13,0.24,0.38,0.44,0.18,0.0,0.24
codeblocks.csv,0.53,1.0,0.51,0.63,0.28,0.57,0.84,0.27,0.57,0.2,0.11,0.46,0.91,0.06,0.55,0.84,0.43
grisbi.csv,0.63,0.73,0.65,0.74,0.39,0.67,0.97,0.21,0.35,0.19,0.13,0.41,0.68,0.62,0.53,0.81,0.6
libmesh.csv,0.52,0.59,0.54,0.63,0.4,0.09,0.28,0.22,0.87,0.26,0.04,0.35,0.68,0.66,0.37,0.43,0.63
panda3d.csv,0.12,0.41,0.45,0.25,0.36,0.52,0.29,0.1,0.11,0.22,0.29,0.96,0.46,0.43,0.53,0.47,0.26
proftp.csv,0.34,0.35,0.5,0.37,0.15,0.98,0.42,0.26,0.19,0.0,0.19,0.28,0.12,0.41,0.37,0.36,0.29
red5.csv,0.52,0.64,0.56,1.0,0.23,0.23,0.34,0.23,0.5,0.16,0.08,0.39,0.87,0.34,0.41,0.72,0.46
skia.csv,0.4,0.39,0.62,0.56,0.29,0.33,0.36,0.23,0.23,0.15,0.09,0.13,0.34,0.66,0.98,0.53,0.53
soar.csv,0.62,0.8,0.58,0.72,0.29,0.56,0.87,0.25,0.55,0.21,0.09,0.39,0.79,1.0,0.46,0.9,0.74
super-tux.csv,0.58,0.85,0.6,0.72,0.34,0.62,0.9,0.17,0.53,0.2,0.1,0.47,1.0,0.0,0.48,0.98,0.65
t-2.csv,0.31,0.49,0.29,0.15,0.28,0.41,0.03,0.95,0.48,0.18,0.06,0.36,0.4,0.34,0.21,0.4,0.34
tart.csv,0.04,0.03,0.06,0.0,0.08,0.06,0.09,0.0,0.07,0.0,1.0,0.04,0.13,0.46,0.08,0.05,0.15
tcvp.csv,0.05,0.37,0.2,0.25,0.14,0.11,0.24,0.02,0.22,1.0,0.3,0.21,0.22,0.33,0.14,0.03,0.41
tencompetence.csv,0.45,0.1,0.45,0.48,0.1,0.05,0.11,0.04,0.33,0.0,0.0,0.28,0.56,0.47,0.15,0.09,0.98
utgb.csv,0.2,0.43,0.97,0.46,0.18,0.31,0.19,0.2,0.37,0.26,0.0,0.3,0.48,0.51,0.38,0.34,0.37
xbrlapi.csv,0.99,0.38,0.41,0.43,0.32,0.21,0.55,0.1,0.39,0.1,0.0,0.39,0.35,0.52,0.39,0.65,0.31
zemljanka.csv,0.68,0.79,0.67,0.7,0.31,0.62,0.9,0.23,0.51,0.16,0.12,0.49,0.63,0.64,0.54,1.0,0.71
