,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.91,0.96,0.73,0.99,0.0,0.61,0.81,0.94,0.91,0.94,0.81,0.84,0.76,0.91,0.88,1.0,0.86
codeblocks.csv,0.67,0.03,0.71,0.62,0.73,0.84,0.8,0.56,0.78,0.96,0.78,0.9,0.81,0.97,0.61,0.35,0.76
grisbi.csv,0.91,0.56,0.82,0.93,0.62,0.71,0.06,0.83,0.86,0.81,0.78,0.66,0.51,0.84,0.77,0.63,0.88
libmesh.csv,0.73,0.83,0.66,0.59,0.59,1.0,1.0,0.65,0.13,0.54,0.94,0.76,0.76,0.97,0.77,0.91,0.77
panda3d.csv,0.94,0.75,0.69,0.87,0.72,0.6,0.83,0.9,0.94,0.78,0.43,0.06,0.91,0.86,0.58,0.69,0.85
proftp.csv,0.8,0.79,0.73,0.76,0.88,0.03,0.73,0.62,0.89,1.0,0.62,0.79,0.94,0.73,0.7,0.78,0.84
red5.csv,0.85,0.79,0.7,0.0,0.85,0.92,1.14,0.65,0.73,0.79,0.86,0.75,1.02,0.78,0.8,0.88,0.88
skia.csv,0.75,0.76,0.52,0.66,0.71,0.78,0.79,0.77,0.85,0.89,0.82,0.92,0.82,0.58,0.04,0.64,0.64
soar.csv,0.8,0.93,0.76,0.66,0.91,0.86,1.0,0.62,0.83,0.93,0.94,0.87,0.52,0.0,0.85,0.9,0.72
super-tux.csv,0.79,0.97,0.75,0.94,1.0,0.97,1.0,0.8,1.0,1.0,0.98,1.0,0.0,1.0,1.0,1.0,0.77
t-2.csv,0.8,0.78,0.83,0.93,0.71,0.71,1.01,0.09,0.61,0.71,0.86,0.7,0.95,0.81,0.87,0.87,0.8
tart.csv,0.99,0.98,0.97,1.0,0.95,0.97,0.95,1.0,0.96,1.0,0.0,0.98,0.93,0.71,0.96,0.98,0.92
tcvp.csv,0.98,0.77,0.89,0.86,0.91,0.94,0.87,0.99,0.86,0.0,0.42,0.88,0.9,0.8,0.92,0.99,0.76
tencompetence.csv,0.7,0.95,0.77,0.97,0.94,0.98,0.95,1.05,0.79,1.0,1.03,0.79,0.64,0.78,0.91,0.95,0.04
utgb.csv,0.9,0.79,0.06,0.72,0.85,0.81,0.9,0.72,0.73,0.68,1.02,0.78,0.71,0.97,0.71,0.82,0.78
xbrlapi.csv,0.03,0.82,0.73,0.81,0.67,0.88,0.62,0.88,0.71,0.9,1.04,0.67,0.81,0.82,0.68,0.75,0.86
zemljanka.csv,0.95,0.65,0.94,0.87,0.81,0.95,0.58,0.9,0.96,0.97,0.66,0.93,0.57,0.9,0.81,0.0,0.89
