,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.44,0.98,0.63,0.59,0.4,0.39,0.41,0.38,0.48,0.33,0.71,0.39,0.42,0.44,0.59,0.73
autat.csv,0.94,0.74,0.95,0.0,0.66,0.67,0.46,0.67,0.5,0.45,0.94,0.58,0.58,0.43,0.95,0.0
biopax.csv,0.43,0.42,0.49,0.49,0.39,0.36,0.39,0.36,0.46,0.32,0.43,0.39,0.56,0.44,0.42,0.33
exl.csv,0.61,0.38,0.58,0.92,0.62,0.32,0.48,0.38,0.71,0.39,0.43,0.4,0.69,0.4,0.65,0.77
fceugc.csv,0.57,0.53,0.62,0.55,0.54,0.59,0.47,0.45,0.69,0.38,0.43,0.5,0.78,0.64,0.64,0.37
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.94,0.67,0.0,0.76,0.0,0.86,0.68
gretl.csv,0.43,0.45,0.52,0.35,0.42,0.42,0.35,0.49,0.47,0.43,0.57,0.41,0.46,0.44,0.5,0.38
jasperreports.csv,0.49,0.55,0.49,0.48,0.46,0.49,0.42,0.35,0.7,0.94,0.43,0.38,0.84,0.47,0.55,0.3
jmule.csv,0.53,0.47,0.77,0.52,0.42,0.57,0.41,0.45,0.44,0.37,0.52,0.4,0.53,0.46,0.61,0.48
moast.csv,0.82,0.42,0.99,0.48,0.44,0.0,0.38,0.73,0.58,0.32,0.97,0.44,0.57,0.77,0.37,0.62
ng4j.csv,0.5,0.42,0.48,0.42,0.35,0.58,0.39,0.39,0.41,0.43,0.44,0.39,0.59,0.41,0.53,0.53
olap-navigator.csv,0.57,0.49,0.81,0.48,0.44,0.72,0.38,0.48,0.6,0.47,0.47,0.39,0.7,0.45,0.56,0.32
passwordsafe.csv,0.84,0.42,0.65,0.52,0.47,0.44,0.35,0.38,0.51,0.73,0.59,0.39,0.49,0.46,0.67,0.0
phonon-vlc-mplayer.csv,0.58,0.46,0.83,0.59,0.42,0.61,0.41,0.54,0.44,0.37,0.63,0.42,0.6,0.45,0.71,0.5
sepgsql.csv,0.63,0.55,0.91,0.55,0.46,0.87,0.44,0.46,0.69,0.52,0.67,0.41,0.7,0.42,0.86,0.5
unflobtactical.csv,0.64,0.51,0.81,0.62,0.55,0.58,0.34,0.45,0.51,0.38,0.5,0.38,0.67,0.46,0.53,0.9
