,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.37,0.09,0.35,0.28,0.3,0.51,0.27,0.78,0.69,0.91,0.18,0.86,0.95,0.62,0.47,0.14
autat.csv,0.04,0.28,0.07,0.0,0.07,0.19,0.15,0.25,0.67,0.65,0.04,0.69,0.2,0.62,0.17,0.0
biopax.csv,0.48,1.0,0.77,0.88,0.53,0.7,0.65,0.9,1.0,1.0,0.96,0.97,0.0,0.85,0.88,0.93
exl.csv,0.59,0.59,0.37,0.08,0.1,0.63,0.35,0.91,0.62,0.74,0.45,0.76,0.65,0.0,0.47,0.31
fceugc.csv,0.33,0.35,0.39,0.78,0.27,0.19,0.35,0.5,0.26,0.74,0.53,0.59,0.15,0.08,0.51,0.62
fido.csv,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.13,0.13,0.01,0.0,0.05,0.0,0.07,0.28
gretl.csv,0.74,0.61,0.46,0.48,0.33,0.58,0.81,0.5,0.47,0.7,0.32,0.38,0.75,0.54,0.64,0.52
jasperreports.csv,0.89,0.26,0.9,0.98,0.6,0.72,0.73,0.93,0.13,0.17,0.94,0.97,0.35,0.46,0.59,0.79
jmule.csv,0.11,0.7,0.22,0.5,0.23,0.42,0.42,0.43,0.32,0.67,0.43,0.52,0.2,0.62,0.27,0.14
moast.csv,0.3,1.0,0.29,1.0,1.0,0.02,1.0,0.38,0.64,0.99,0.25,0.1,0.45,0.46,0.95,0.28
ng4j.csv,0.07,1.0,0.53,0.25,0.37,0.33,0.19,0.54,0.43,0.48,0.48,0.62,0.05,0.46,0.32,0.14
olap-navigator.csv,0.07,0.43,0.15,0.68,0.23,0.19,0.27,0.35,0.22,0.56,0.55,0.79,0.0,0.31,0.51,0.93
passwordsafe.csv,0.07,0.82,0.34,0.38,0.13,0.63,0.38,0.59,0.47,0.22,0.2,0.72,0.3,0.77,0.37,0.0
phonon-vlc-mplayer.csv,0.04,0.86,0.18,0.22,0.23,0.28,0.27,0.32,0.58,0.7,0.2,0.31,0.0,0.54,0.22,0.0
sepgsql.csv,0.04,0.33,0.09,0.12,0.13,0.16,0.15,0.43,0.14,0.45,0.12,0.28,0.1,0.38,0.19,0.0
unflobtactical.csv,0.07,0.41,0.14,0.18,0.13,0.3,0.31,0.59,0.84,0.84,0.39,0.79,0.2,0.38,0.61,0.07
