,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.16,0.6,0.19,0.35,0.4,0.31,0.57,1.0,0.06,1.0,0.33,0.0
ivatamasks.csv,1.0,0.88,1.0,0.97,0.66,0.57,0.4,0.46,0.63,1.0,0.62,0.94
orc.csv,0.11,0.01,1.0,0.14,0.7,0.81,0.0,0.0,0.09,1.0,0.63,0.56
plato.csv,0.26,0.72,0.56,0.57,0.71,0.98,1.0,0.0,0.54,1.0,0.93,0.21
proftp.csv,0.37,0.36,0.44,0.47,0.17,0.4,0.97,0.21,0.09,1.0,0.48,0.09
tycho.csv,0.26,0.96,0.75,0.8,0.42,0.4,0.37,0.71,1.0,0.0,0.92,0.1
uclmda.csv,0.05,0.04,0.12,0.01,0.23,0.02,0.03,0.03,0.91,0.0,0.03,0.99
umber.csv,1.0,0.49,0.31,0.73,0.18,0.26,0.4,0.94,0.2,0.0,0.15,0.3
unicase.csv,0.95,0.86,0.94,0.85,0.47,0.76,0.87,0.95,0.69,1.0,0.98,0.01
vienna-add-in.csv,0.95,1.0,0.56,0.85,0.96,0.81,0.93,1.0,0.77,0.0,0.67,0.55
wpdev.csv,1.0,1.0,1.0,1.0,0.99,0.88,1.0,0.98,1.0,1.0,1.0,1.0
