,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.86,0.51,0.8,0.76,0.88,0.6,0.54,0.36,0.67,0.95,0.68,0.0
ivatamasks.csv,0.36,0.43,0.33,0.43,0.45,0.52,0.66,0.47,0.45,0.42,0.43,0.26
orc.csv,0.49,0.0,0.94,0.96,0.42,0.46,0.0,0.0,0.83,0.44,0.52,0.43
plato.csv,0.42,0.48,0.38,0.6,0.54,0.46,0.41,0.0,0.64,0.48,0.42,0.97
proftp.csv,0.85,0.5,0.51,0.49,0.85,0.38,0.43,0.76,0.75,0.41,0.44,0.95
tycho.csv,0.55,0.4,0.43,0.49,0.57,0.53,0.71,0.37,0.54,0.44,0.42,0.95
uclmda.csv,0.8,0.83,0.74,0.0,0.96,0.5,0.0,0.9,0.42,0.83,0.96,0.27
umber.csv,0.58,0.55,0.51,0.43,0.93,0.57,0.55,0.31,0.91,0.71,0.99,0.65
unicase.csv,0.4,0.39,0.35,0.43,0.52,0.46,0.42,0.3,0.48,0.43,0.44,0.83
vienna-add-in.csv,0.5,0.39,0.34,0.45,0.54,0.46,0.41,0.29,0.5,0.46,0.47,0.43
wpdev.csv,0.34,0.39,0.29,0.43,0.41,0.4,0.41,0.29,0.42,0.36,0.39,0.26
