,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.19,0.0,0.22,0.38,0.45,0.35,0.38,1.0,0.07,0.96,0.37,0.0
ivatamasks.csv,0.67,0.0,0.64,0.98,0.35,0.58,0.34,0.4,0.55,0.6,0.59,0.49
orc.csv,0.12,0.01,1.0,0.17,0.19,0.38,0.0,0.0,0.11,0.56,0.36,0.49
plato.csv,0.14,0.0,0.43,0.49,0.47,0.98,0.13,0.0,0.46,0.62,0.27,0.23
proftp.csv,0.42,0.38,0.47,0.52,0.2,0.42,0.97,0.25,0.11,0.87,0.52,0.11
tycho.csv,0.27,0.0,0.67,0.62,0.45,0.44,0.42,0.68,1.0,0.0,0.3,0.12
uclmda.csv,0.06,0.05,0.14,0.01,0.27,0.02,0.04,0.04,0.17,0.0,0.04,0.99
umber.csv,1.0,0.55,0.34,0.69,0.22,0.29,0.44,0.0,0.24,0.0,0.18,0.34
unicase.csv,0.72,0.0,0.61,0.58,0.47,0.63,0.6,0.38,0.69,0.74,0.98,0.01
vienna-add-in.csv,0.89,0.0,0.36,0.44,0.96,0.38,0.21,0.0,0.47,0.0,0.62,0.49
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.59,0.13,0.0,0.45,0.0,0.09,0.0
