,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,6.0,0.0,28.0,1.0,0.0,0.0,2.0,0.0,1.0,18.0,8.0,168.0
ivatamasks.csv,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,70.0,0.0,2.0
orc.csv,3.0,0.0,0.0,0.0,0.0,0.0,66.0,136.0,0.0,75.0,0.0,0.0
plato.csv,4.0,0.0,17.0,1.0,0.0,0.0,2.0,136.0,0.0,86.0,0.0,2.0
proftp.csv,2.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0
tycho.csv,4.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,2.0
uclmda.csv,2.0,0.0,41.0,0.0,0.0,1.0,0.0,5.0,0.0,117.0,3.0,0.0
umber.csv,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,2.0,117.0,0.0,0.0
unicase.csv,2.0,0.0,11.0,4.0,1.0,0.0,9.0,0.0,0.0,58.0,0.0,3.0
vienna-add-in.csv,5.0,0.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,117.0,0.0,2.0
wpdev.csv,4.0,0.0,17.0,2.0,0.0,0.0,2.0,0.0,0.0,96.0,0.0,2.0
