,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.15,0.74,0.1,0.45,0.54,0.46,0.44,1.0,0.11,0.09,0.46,0.0
ivatamasks.csv,0.49,0.93,0.24,0.98,0.63,0.7,0.34,0.53,0.59,0.02,0.68,0.96
orc.csv,0.06,0.01,1.0,0.23,0.64,0.82,0.0,0.0,0.15,0.02,0.64,0.71
plato.csv,0.13,0.83,0.13,0.6,0.67,0.99,0.62,0.0,0.51,0.02,0.82,0.35
proftp.csv,0.44,0.52,0.19,0.61,0.27,0.54,0.97,0.33,0.15,0.04,0.61,0.16
tycho.csv,0.16,0.97,0.23,0.75,0.53,0.56,0.47,0.76,1.0,0.0,0.81,0.19
uclmda.csv,0.08,0.08,0.06,0.02,0.35,0.05,0.06,0.06,0.68,0.0,0.06,1.0
umber.csv,1.0,0.65,0.13,0.75,0.31,0.39,0.48,0.81,0.3,0.0,0.25,0.46
unicase.csv,0.5,0.91,0.22,0.77,0.54,0.81,0.63,0.83,0.71,0.03,0.99,0.02
vienna-add-in.csv,0.68,0.99,0.12,0.75,0.98,0.82,0.6,0.84,0.64,0.0,0.72,0.7
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.87,0.62,0.83,0.74,0.02,0.84,0.98
