,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.43,0.52,0.55,0.97,0.54,0.43,0.63,0.31,0.17,0.32
flylegacy.csv,0.56,0.46,1.0,0.59,0.68,0.16,0.59,0.44,0.13,0.25
ftm.csv,0.37,0.04,0.42,0.44,0.52,0.28,0.19,0.36,0.98,0.48
jcache.csv,0.23,0.4,0.36,0.43,0.37,0.24,0.32,0.4,0.3,1.0
lphant.csv,0.58,0.57,0.63,0.58,0.69,0.58,0.21,0.96,0.42,0.44
minig.csv,0.61,0.41,0.51,0.54,0.5,0.98,0.39,0.7,0.3,0.65
mob-sen-plat.csv,0.5,0.99,0.24,0.22,0.31,0.53,0.44,0.31,0.49,0.34
raygina.csv,0.93,0.04,0.57,0.45,0.34,0.24,0.32,0.49,0.52,0.22
upp-mirror.csv,0.58,0.15,0.57,0.33,0.98,0.28,0.4,0.27,0.09,0.04
yarp.csv,0.28,0.41,0.44,0.28,0.11,0.3,1.0,0.0,0.25,0.3
