,playerstage.csv,aubit4gl.csv,massiv.csv,bibedt.csv,customwars.csv,quarkplusplus.csv,impala.csv,xinity.csv
aubit4gl.csv,0.4,0.94,0.0,0.17,0.16,0.48,0.2,0.58
bibedt.csv,0.62,0.19,0.02,0.95,0.32,0.4,0.18,0.5
customwars.csv,0.1,0.51,0.02,0.17,0.9,0.0,0.06,0.34
impala.csv,0.28,0.69,0.01,0.24,0.17,0.48,0.96,0.3
massiv.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
playerstage.csv,0.96,0.62,0.02,0.52,0.28,0.36,0.16,0.46
quarkplusplus.csv,0.53,0.09,0.04,0.57,0.3,0.98,0.21,0.55
xinity.csv,0.23,0.1,0.03,0.0,0.21,0.34,0.18,0.99
