,playerstage.csv,aubit4gl.csv,massiv.csv,bibedt.csv,customwars.csv,quarkplusplus.csv,impala.csv,xinity.csv
aubit4gl.csv,0.52,0.12,0.52,0.78,0.66,0.84,0.6,0.5
bibedt.csv,0.17,0.27,0.43,0.0,0.6,0.25,0.36,0.38
customwars.csv,0.19,0.5,0.17,0.29,0.0,0.12,0.03,0.27
impala.csv,0.65,0.71,0.42,0.66,0.27,0.72,0.0,0.42
massiv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playerstage.csv,0.04,0.69,0.29,0.17,0.34,0.25,0.3,0.46
quarkplusplus.csv,0.18,0.15,0.39,0.24,0.31,0.0,0.34,0.46
xinity.csv,0.23,0.04,0.2,0.1,0.35,0.16,0.32,0.0
