,playerstage.csv,aubit4gl.csv,massiv.csv,bibedt.csv,customwars.csv,quarkplusplus.csv,impala.csv,xinity.csv
aubit4gl.csv,0.37,0.9,0.0,0.11,0.1,0.37,0.12,0.63
bibedt.csv,0.7,0.35,0.01,1.0,0.2,0.5,0.12,0.63
customwars.csv,0.2,0.53,0.01,0.14,1.0,0.0,0.14,0.59
impala.csv,0.25,0.57,0.0,0.16,0.13,0.39,1.0,0.45
massiv.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
playerstage.csv,0.95,0.54,0.01,0.46,0.2,0.47,0.11,0.57
quarkplusplus.csv,0.63,0.3,0.02,0.44,0.22,1.0,0.14,0.62
xinity.csv,0.34,0.6,0.02,0.0,0.15,0.55,0.12,1.0
