,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.61,0.61,0.31,0.43,0.41,0.37,0.33,0.5,0.33,0.95,0.42,0.45,0.31,0.59,0.42
cornerstone.csv,0.42,0.21,0.55,0.32,0.5,1.0,0.27,0.17,0.51,0.45,0.43,0.25,0.69,0.35,0.29
esmf.csv,0.94,0.94,0.53,0.41,0.29,0.78,0.87,0.83,0.53,0.55,0.47,0.8,0.47,0.21,0.67
frogatto.csv,0.55,0.48,0.53,0.49,0.67,0.61,0.67,0.61,0.76,0.45,0.48,0.44,0.94,0.82,0.42
gretl.csv,0.65,0.76,0.58,0.89,0.79,0.76,0.8,0.5,0.99,0.45,0.67,0.89,0.64,0.94,0.62
kindb.csv,0.61,0.7,0.66,0.53,0.67,0.61,0.73,0.83,0.51,0.1,0.6,0.41,0.72,0.88,0.42
libtorrent.csv,0.84,0.88,0.64,0.78,0.84,0.88,1.0,0.89,0.77,0.9,1.0,0.8,0.78,0.76,0.88
mia.csv,0.32,0.21,0.16,0.07,0.26,0.41,0.6,0.89,0.0,0.25,0.18,0.22,0.14,0.38,0.17
open-beos.csv,0.68,0.52,0.78,0.92,0.54,0.8,0.8,0.72,0.66,0.6,0.55,0.73,0.67,0.88,0.5
pidgin.csv,0.68,0.79,0.75,0.66,0.99,0.57,0.67,0.67,0.58,0.35,0.65,0.56,0.78,0.91,0.67
quantlib.csv,0.77,0.33,0.7,0.18,0.4,0.49,0.67,0.67,0.26,0.35,0.32,0.47,0.72,0.26,0.96
riff-evolve.csv,0.55,0.36,0.55,0.51,0.61,0.57,0.47,0.33,0.56,0.45,0.49,0.96,0.56,0.68,0.25
tokratan.csv,0.13,0.18,0.17,0.19,0.12,0.02,0.73,0.5,0.28,0.0,0.09,0.04,0.06,0.09,0.04
upp-mirror.csv,0.35,0.42,0.98,0.6,0.1,0.06,0.07,0.44,0.16,0.0,0.33,0.12,0.39,0.03,0.5
wxcrp.csv,0.9,0.27,0.36,0.22,0.29,0.49,0.73,0.33,0.33,0.0,0.28,0.64,0.39,0.53,0.08
