,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.5,0.73,1.0,0.23,0.5,1.0,0.36,0.52,0.8,0.56,0.36,0.7,0.63,0.74,0.33,0.21
fleet-simulator.csv,1.0,1.0,1.0,1.0,0.94,0.69,1.0,0.8,1.0,0.88,0.91,1.0,0.8,0.92,1.0,0.88
geogebra.csv,0.0,0.05,1.0,0.18,0.17,0.18,0.2,0.52,0.4,0.36,0.09,0.76,0.52,0.91,0.04,0.17
gtad.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0
hibernate.csv,0.0,0.08,1.0,0.09,0.17,0.27,0.36,0.16,0.8,0.59,0.45,0.26,0.95,0.53,0.21,0.33
ipfire-wall.csv,0.5,0.22,0.0,0.27,1.0,0.36,0.64,0.36,0.6,0.63,0.27,0.52,0.53,0.4,0.25,0.29
irplus.csv,0.0,0.3,0.0,0.27,0.56,0.49,0.4,0.96,0.8,0.16,0.36,0.19,0.36,0.34,0.33,0.55
mumble.csv,0.5,0.08,1.0,0.06,0.28,0.25,0.96,0.36,0.6,0.52,0.52,0.17,0.32,0.59,0.04,0.14
ondex.csv,0.0,0.03,0.0,0.59,0.33,0.45,0.08,0.24,0.2,0.21,0.94,0.89,0.39,0.3,0.54,0.1
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.03,0.0,0.01,0.03,0.0,0.0
projectts.csv,0.5,1.0,1.0,0.47,0.78,0.7,0.68,0.88,0.8,0.44,0.76,0.65,0.6,0.78,0.75,0.9
quantlib.csv,1.0,0.41,1.0,0.25,1.0,0.83,0.64,0.64,0.8,0.32,0.61,0.65,0.7,0.6,0.92,0.81
smartgwt.csv,1.0,0.54,1.0,0.94,0.83,0.87,0.64,0.52,1.0,0.98,0.58,0.28,0.68,0.67,0.54,0.9
tweetsharp.csv,0.5,0.54,0.0,0.78,1.0,0.52,0.8,0.44,0.4,0.2,0.58,0.13,0.45,0.43,0.58,0.98
wxlua.csv,1.0,0.86,1.0,0.99,1.0,0.95,0.92,0.68,1.0,0.84,0.82,0.85,0.93,0.76,1.0,0.95
