,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.05,0.69,0.07,0.37,0.39,1.0,0.37,0.47,0.09,0.29,0.26,0.82,0.4,0.35,0.24,0.33
fleet-simulator.csv,0.06,0.73,0.05,0.96,0.49,0.7,0.44,0.51,0.09,0.58,0.28,1.0,0.46,0.4,0.34,0.81
geogebra.csv,0.0,0.1,0.08,0.3,0.22,0.29,0.21,0.4,0.05,0.44,0.12,0.86,0.38,0.95,0.07,0.28
gtad.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0
hibernate.csv,0.0,0.13,0.1,0.16,0.15,0.39,0.36,0.25,0.29,0.47,0.26,0.37,0.97,0.45,0.24,0.49
ipfire-wall.csv,0.12,0.32,0.0,0.42,1.0,0.49,0.59,0.38,0.21,0.28,0.22,0.65,0.38,0.27,0.17,0.42
irplus.csv,0.0,0.39,0.0,0.42,0.47,0.56,0.27,0.98,0.16,0.11,0.2,0.28,0.31,0.32,0.22,0.6
mumble.csv,0.29,0.14,0.33,0.11,0.37,0.39,0.94,0.41,0.22,0.63,0.3,0.29,0.37,0.48,0.07,0.24
ondex.csv,0.0,0.05,0.0,0.72,0.3,0.55,0.13,0.28,0.04,0.3,0.97,0.93,0.33,0.29,0.37,0.17
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.06,0.0,0.01,0.06,0.0,0.0
projectts.csv,0.04,1.0,0.04,0.61,0.47,0.71,0.42,0.55,0.09,0.24,0.26,0.73,0.42,0.41,0.32,0.82
quantlib.csv,0.07,0.5,0.05,0.39,0.51,0.75,0.38,0.42,0.07,0.18,0.34,0.72,0.38,0.34,0.96,0.77
smartgwt.csv,0.06,0.52,0.06,0.93,0.45,0.77,0.34,0.46,0.19,0.99,0.3,0.39,0.47,0.38,0.29,0.85
tweetsharp.csv,0.06,0.58,0.0,0.85,0.54,0.57,0.45,0.46,0.05,0.18,0.24,0.22,0.43,0.29,0.3,0.99
wxlua.csv,0.06,0.69,0.04,0.98,0.51,0.8,0.45,0.42,0.09,0.33,0.26,0.86,0.43,0.31,0.36,0.83
