,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.01,0.97,0.96,0.99
chrysalis.csv,0.46,0.48,0.92,0.7,0.38,0.66,0.27
jahshaka.csv,0.47,0.32,0.79,0.72,0.65,0.78,0.65
jam-daq.csv,0.63,0.91,0.73,0.54,0.42,0.44,0.89
jatlas.csv,0.83,0.55,0.74,0.57,0.16,0.62,0.54
jedit.csv,0.35,0.64,0.66,1.0,0.92,1.0,0.75
open-media-library.csv,0.76,0.57,0.39,0.74,0.41,0.65,1.0
