,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.59,0.35,0.67,0.84,0.88
empyrean.csv,0.42,1.0,1.0,1.0,1.0
mplayer-ce.csv,0.92,0.54,0.58,0.7,0.56
nutz.csv,0.71,0.88,0.3,0.74,0.95
yafdotnet.csv,0.77,0.44,0.58,0.38,0.71
