,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.54,0.74,0.54,0.2,0.16
empyrean.csv,0.73,0.0,0.0,0.0,0.0
mplayer-ce.csv,0.3,0.65,0.69,0.57,0.58
nutz.csv,0.55,0.44,0.78,0.59,0.21
yafdotnet.csv,0.3,0.65,0.49,0.72,0.37
