,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.51,0.37,0.45,0.84,0.16,0.58,0.57,0.14,0.03,0.74,0.63
cubefs.csv,0.3,0.37,0.3,0.68,0.16,0.67,0.63,0.79,0.0,0.74,0.63
iaml.csv,0.38,0.1,0.37,0.39,0.24,0.46,0.71,0.22,0.0,0.63,0.48
ivataopenportal.csv,0.54,0.37,0.32,0.85,0.17,0.72,0.63,0.81,0.0,0.8,0.63
mb-unit.csv,0.53,0.12,0.33,0.78,0.17,0.66,0.6,0.45,0.06,0.8,0.65
mvdsv.csv,0.06,0.21,0.0,0.12,0.86,0.02,0.14,0.12,0.0,0.3,0.15
nova.csv,0.49,0.67,0.31,0.75,0.0,0.51,0.62,0.77,0.04,0.42,0.56
olex2.csv,0.5,0.39,0.35,0.72,0.22,0.66,0.57,0.58,0.0,0.77,0.7
openwbem.csv,0.55,0.45,0.39,0.66,0.19,0.61,0.34,0.75,0.06,0.68,0.6
xcmetadataservicestoolkit.csv,0.46,0.35,0.28,0.7,0.0,0.63,0.57,0.36,0.03,0.82,0.6
