,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.93,1.0,0.71,0.84,1.0,0.69,0.59,0.08,1.0,0.8,1.0
cubefs.csv,0.25,1.0,1.0,0.54,1.0,0.86,0.71,0.75,0.0,0.65,1.0
iaml.csv,0.34,0.08,0.67,0.25,1.0,0.38,0.69,0.13,0.0,0.57,0.42
ivataopenportal.csv,0.86,1.0,0.95,0.86,1.0,0.7,0.75,0.97,0.0,0.88,1.0
mb-unit.csv,0.93,0.08,0.71,0.69,1.0,0.93,0.64,0.3,1.0,0.82,0.7
mvdsv.csv,0.03,0.23,0.0,0.07,1.0,0.01,0.08,0.06,0.0,0.18,0.08
nova.csv,0.73,0.85,0.71,0.66,0.0,0.53,0.6,0.87,1.0,0.28,0.72
olex2.csv,0.79,0.46,0.57,0.61,0.67,0.95,0.53,0.47,0.0,0.7,0.7
openwbem.csv,0.58,0.38,0.52,0.53,0.67,0.77,0.23,0.79,1.0,0.57,0.7
xcmetadataservicestoolkit.csv,0.75,0.92,0.38,0.58,0.0,0.86,0.6,0.23,1.0,0.8,0.78
