,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv
abbot.csv,0.53,0.27,0.21,0.07,0.03,0.38,0.53,1.0
jicarilla.csv,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
optalgtoolkit.csv,0.55,0.23,0.0,0.07,0.06,1.0,0.53,0.75
ossim.csv,0.0,0.33,0.0,1.0,0.0,0.0,1.0,0.0
projectts.csv,0.52,0.25,0.15,0.08,0.07,0.44,0.95,0.67
sabbu.csv,1.0,0.18,0.43,0.1,0.07,0.25,0.69,0.67
vxl.csv,0.17,1.0,0.65,0.08,0.0,0.6,0.62,0.64
zact.csv,0.0,0.22,0.67,0.0,1.0,0.33,1.0,0.6
