,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
54,2,1,1,1,2,2,2,1,mclient-mume.csv
50,3,1,2,5,2,4,4,6,chrysalis.csv
48,4,2,3,12,2,1,13,16,beast-mcmc.csv
56,5,4,4,7,3,3,2,9,springside.csv
22,6,2,6,6,8,9,16,17,personalaccess.csv
17,7,1,6,6,4,9,12,15,jmoney.csv
27,8,2,2,2,5,6,9,10,mediate.csv
25,10,0,1,1,0,1,1,0,atunes.csv
16,11,1,1,2,0,1,1,2,columba.csv
55,13,1,1,1,2,1,3,2,amanda.csv
57,14,2,2,4,4,9,17,15,jaxlib.csv
49,15,0,2,3,5,10,12,13,openmeetings.csv
19,16,4,2,4,4,3,7,7,psycle.csv
24,17,0,1,1,0,1,2,1,voms.csv
14,18,1,2,2,1,1,3,2,lmms.csv
26,19,5,8,7,4,5,6,7,jmule.csv
13,20,1,3,7,3,5,12,13,acegisecurity.csv
28,21,2,2,4,3,4,7,7,phonon-vlc-mplayer.csv
58,22,3,5,7,4,5,8,10,xtreemfs.csv
15,27,2,2,5,1,1,6,6,bochs.csv
23,28,0,3,4,3,10,13,14,nodal.csv
18,29,2,4,6,5,7,14,15,unbvision.csv
38,30,12,10,16,11,5,6,17,itext.csv
33,31,0,2,2,3,4,4,4,poormans.csv
12,33,3,1,1,3,5,9,9,igarden.csv
11,34,2,1,5,2,0,7,6,flylegacy.csv
6,35,2,2,4,2,1,0,3,jajuk.csv
32,36,7,4,12,6,5,6,15,gss.csv
39,37,5,8,9,9,14,9,17,jahshakafx.csv
31,38,3,2,3,4,4,3,6,pidgin.csv
40,39,5,3,10,3,3,0,15,owlib.csv
52,40,0,4,4,2,2,7,6,apolloplayer.csv
46,41,1,4,8,3,8,10,14,applet2app.csv
20,42,2,2,2,2,5,5,5,adaptagrams.csv
30,43,6,4,10,5,2,9,12,nativeclient.csv
29,44,5,3,3,11,17,19,19,etics.csv
21,45,1,2,3,1,1,2,3,selenium.csv
45,46,2,1,2,0,3,5,4,jparsec.csv
53,47,4,7,9,6,12,20,19,img-browse-sort.csv
47,48,2,3,3,3,5,8,8,qtractor.csv
51,49,2,4,4,5,6,7,6,riff-evolve.csv
3,50,4,4,6,6,4,12,11,sandiaportals.csv
41,52,1,1,3,4,7,11,10,openwbem.csv
37,53,3,4,12,2,4,10,15,oppna-program-hsatools.csv
36,54,1,1,2,1,2,3,2,graphmak.csv
42,55,1,3,9,3,5,13,17,anaxagora.csv
7,56,2,1,7,1,2,7,8,abbot.csv
5,57,4,9,15,3,2,14,17,gretl.csv
8,58,5,3,6,7,5,11,14,xcf.csv
1,59,2,1,2,2,1,1,1,glelite.csv
10,60,4,3,5,4,7,12,13,maidsafe-dht.csv
0,61,3,3,6,3,1,4,9,openintents.csv
35,62,2,2,5,2,2,5,5,nug.csv
43,63,9,6,17,7,2,4,17,kolmafia.csv
44,64,0,4,5,1,4,5,11,opensim4opencog.csv
34,65,3,2,3,3,7,10,9,tzod.csv
2,66,1,2,2,3,7,8,8,utgb.csv
9,67,0,0,0,0,1,1,0,jrdf.csv
4,68,4,1,1,6,5,10,9,rodin-b-sharp.csv
