,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.38,0.53,0.45,0.49,0.75,0.51,0.54,0.0,0.5,0.8,0.48,0.5,0.56
grafx2.csv,0.47,0.48,0.51,0.64,0.53,0.52,0.52,0.47,0.34,0.39,0.56,0.41,0.46
jahshakafx.csv,0.34,0.43,0.4,0.39,0.44,0.41,0.48,0.83,0.4,0.32,0.41,0.33,0.42
kftpgrabber.csv,0.41,0.76,0.94,0.9,0.45,0.64,0.75,0.5,0.73,0.67,0.43,0.67,0.83
kindb.csv,0.34,0.54,0.42,0.49,0.39,0.42,0.45,0.0,0.9,0.37,0.39,0.0,0.39
maya-work-in-progress.csv,0.45,0.45,0.4,0.47,0.42,0.36,0.44,0.36,0.29,0.38,0.41,0.41,0.44
netatalk.csv,0.59,0.47,0.54,0.54,0.6,0.48,0.58,0.89,0.32,0.36,0.58,0.4,0.58
nullc.csv,0.43,0.48,0.4,0.53,0.52,0.47,0.67,0.61,0.42,0.47,0.44,0.5,0.5
plee-the-bear.csv,0.38,0.64,0.54,0.67,0.54,0.43,0.55,0.58,0.53,0.48,0.52,0.39,0.47
reaper-ecad.csv,0.64,0.99,0.97,0.63,0.55,0.98,0.0,0.0,0.0,0.5,0.83,0.67,0.83
unimrcp.csv,0.38,0.45,0.47,0.59,0.38,0.44,0.47,0.42,0.43,0.3,0.4,0.64,0.43
unladen-swallow.csv,0.97,0.59,0.73,0.89,0.88,0.54,0.61,0.41,0.43,0.5,0.54,0.39,0.75
xmoto.csv,0.44,0.5,0.5,0.8,0.48,0.51,0.59,0.5,0.37,0.44,0.47,0.42,0.49
