,recall,precision,pf,pci_20,ifa,wins
abbot.csv,0.88,0.41,0.77,0.41,2.0,188
acdk.csv,0.33,0.57,0.15,0.6,1.0,605
acegisecurity.csv,0.61,0.45,0.46,0.49,2.0,412
adaptagrams.csv,0.31,0.5,0.18,0.64,1.0,577
adobe-source.csv,0.48,0.39,0.42,0.55,2.0,261
adonthell.csv,0.52,0.39,0.48,0.5,2.0,185
agilitybook.csv,0.41,0.45,0.33,0.6,1.0,469
aime.csv,0.21,0.36,0.21,0.81,3.0,449
alembik.csv,0.21,0.55,0.1,0.7,1.0,608
algebsql.csv,0.38,0.33,0.5,0.75,2.0,197
all-plasm.csv,0.33,0.44,0.26,0.75,2.0,554
alleg.csv,0.44,0.41,0.36,0.54,2.0,308
alpine.csv,0.75,0.42,0.62,0.43,2.0,251
alsa.csv,0.67,0.44,0.5,0.45,2.0,366
amanda.csv,0.59,0.46,0.46,0.52,2.0,435
amateur-scrolls.csv,0.25,0.39,0.19,0.72,2.0,470
ambulant.csv,0.57,0.4,0.54,0.56,2.0,259
amygdala.csv,0.39,0.39,0.34,0.62,1.0,357
anaxagora.csv,0.63,0.44,0.48,0.42,2.0,290
apertium.csv,0.21,0.4,0.14,0.56,2.0,300
applet2app.csv,0.57,0.5,0.35,0.45,1.0,510
arcallians.csv,0.69,0.43,0.58,0.48,2.0,306
archive-crawler.csv,0.33,0.49,0.21,0.73,1.0,594
ardour.csv,0.47,0.53,0.28,0.48,1.0,550
arianne.csv,0.95,0.38,0.93,0.41,2.0,51
arm-webradio.csv,0.38,0.4,0.38,0.63,2.0,312
arsenal-1.csv,0.09,0.42,0.07,0.8,1.0,548
atlc.csv,0.65,0.38,0.62,0.52,2.0,179
atomsite.csv,0.72,0.44,0.57,0.4,2.0,270
atunes.csv,0.67,0.43,0.52,0.43,1.0,298
auber.csv,0.77,0.42,0.67,0.45,2.0,243
aubit4gl.csv,0.15,0.4,0.15,0.83,2.0,524
aufs.csv,0.39,0.38,0.35,0.65,2.0,351
autat.csv,0.39,0.49,0.24,0.6,1.0,563
autofac.csv,0.61,0.45,0.46,0.43,1.0,346
autoopencas.csv,0.27,0.28,0.41,0.8,3.0,137
