,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.44,0.47,0.5,0.37,0.74,0.51,0.47,0.4,0.57,0.7,0.41,0.83,0.52,0.48
encog-cs.csv,0.33,0.49,0.56,0.42,0.45,0.39,0.41,0.51,0.62,0.5,0.56,0.48,0.35,0.33
extprosys.csv,0.39,0.45,0.78,0.41,0.39,0.44,0.47,0.59,0.44,0.46,0.63,0.52,0.45,0.54
intact.csv,0.46,0.46,0.94,0.94,0.56,0.73,0.4,0.72,0.76,0.62,0.69,0.48,0.34,0.91
japano.csv,0.32,0.44,0.49,0.35,0.41,0.35,0.42,0.49,0.36,0.4,0.45,0.43,0.34,0.35
lockss.csv,0.86,0.8,0.92,0.5,0.8,0.88,0.75,0.8,0.95,0.86,0.99,0.0,0.8,0.5
officefloor.csv,0.92,0.93,0.97,0.49,0.76,0.87,0.6,0.76,0.98,0.97,0.97,0.8,0.78,0.61
opennms.csv,0.95,0.88,0.92,0.93,0.78,0.75,0.88,0.93,0.96,0.92,0.99,0.75,0.93,0.75
primefaces.csv,0.4,0.52,0.47,0.4,0.5,0.38,0.34,0.47,0.92,0.96,0.63,0.44,0.41,0.34
rohxel.csv,0.31,0.37,0.56,0.36,0.37,0.42,0.43,0.51,0.4,0.35,0.4,0.45,0.35,0.29
roolo.csv,0.95,0.5,0.89,0.92,0.92,0.92,0.83,0.81,0.94,0.95,0.82,0.8,0.8,0.83
sevenupdate.csv,0.36,0.47,0.47,0.4,0.42,0.42,0.39,0.46,0.43,0.4,0.46,0.45,0.37,0.33
web-cat.csv,0.56,0.56,0.66,0.45,0.45,0.58,0.41,0.73,0.65,0.72,0.64,0.59,0.4,0.55
