,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.65,0.15,0.42,0.98,0.74,0.55,0.62,0.38,0.44,0.35,0.57,0.88,0.38,0.58,0.58,0.62
betoffice.csv,0.09,0.04,0.0,0.25,0.35,0.07,0.24,0.98,0.14,0.54,0.05,0.25,0.0,0.43,0.2,0.05
bionote.csv,0.05,0.0,0.26,0.08,0.19,0.08,0.0,0.04,0.35,0.07,0.0,0.04,1.0,0.05,0.0,0.11
bnetd.csv,0.74,0.8,0.29,0.62,0.71,0.51,0.37,0.53,0.46,0.52,0.97,0.72,0.25,0.65,0.4,0.71
elvishrayrenderer.csv,0.73,0.77,0.47,0.51,0.75,0.52,0.58,0.66,0.4,0.86,0.4,0.9,0.26,0.77,0.55,1.0
emisview.csv,0.17,0.0,0.14,0.31,0.3,1.0,0.38,0.04,0.38,0.27,0.55,0.23,0.29,0.2,0.65,0.05
hazelcast.csv,0.83,0.88,0.49,0.53,1.0,0.47,0.66,0.6,0.44,0.77,0.71,0.9,0.23,0.72,0.51,0.79
jitterbit.csv,0.52,0.75,0.27,0.4,0.46,0.35,0.34,0.1,0.96,0.85,0.54,0.44,0.44,0.38,0.25,0.58
jppf-project.csv,0.86,0.9,0.36,0.49,0.89,0.41,0.79,0.66,0.36,0.96,0.69,1.0,0.23,0.82,0.47,0.78
l2j.csv,0.78,0.79,0.33,0.49,0.83,0.5,0.59,0.56,0.3,0.59,0.67,0.89,0.2,0.99,0.45,0.76
megasquirtavr.csv,0.86,0.9,1.0,0.49,0.92,0.46,0.77,0.61,0.38,0.96,0.69,0.94,0.25,0.84,0.5,0.79
stajistics.csv,0.51,0.42,0.3,0.44,0.53,0.3,0.13,0.1,0.38,0.2,0.33,0.64,0.29,0.41,0.98,0.56
trackit.csv,0.64,0.73,0.44,0.0,0.6,0.2,0.99,0.3,0.22,0.18,0.22,0.16,0.15,0.54,0.43,0.48
wxlua.csv,0.88,0.84,0.42,0.53,0.92,0.47,0.78,0.67,0.4,1.0,0.67,0.95,0.21,0.85,0.45,0.78
x4x.csv,1.0,0.77,0.36,0.44,0.79,0.23,0.76,0.52,0.45,0.37,0.68,0.71,0.27,0.74,0.4,0.66
xharbour.csv,0.82,1.0,0.41,0.48,0.89,0.4,0.78,0.62,0.41,0.61,0.53,0.79,0.22,0.68,0.48,0.61
