,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.58,0.92,0.71,0.02,0.49,0.47,0.7,0.82,0.74,0.82,0.58,0.89,0.44,0.67,0.43,0.58
betoffice.csv,0.97,1.04,1.0,0.83,0.79,0.96,0.86,0.03,0.91,0.64,0.97,0.87,1.01,0.76,0.87,0.98
bionote.csv,0.98,1.0,0.77,0.96,0.94,0.96,1.0,0.98,0.78,0.97,1.0,0.98,0.0,0.98,1.0,0.94
bnetd.csv,0.66,0.73,0.72,0.42,0.51,0.61,0.81,0.65,0.55,0.88,0.05,0.75,0.64,0.61,0.72,0.67
elvishrayrenderer.csv,0.74,0.98,0.53,0.65,0.4,0.74,0.65,0.73,0.71,0.9,0.74,1.01,0.74,0.82,0.53,0.0
emisview.csv,0.92,1.0,0.91,0.77,0.82,0.0,0.78,0.99,0.68,0.88,0.6,0.88,0.65,0.89,0.41,0.98
hazelcast.csv,0.84,0.69,0.46,0.72,0.0,0.93,0.84,0.71,0.79,0.61,0.48,1.01,0.87,0.69,0.72,0.73
jitterbit.csv,0.78,0.62,1.0,0.67,0.72,0.76,0.79,0.96,0.06,0.78,0.6,0.87,0.35,0.78,0.84,0.73
jppf-project.csv,1.0,1.0,0.92,1.0,1.0,0.91,0.96,0.77,0.99,1.0,1.0,0.0,0.89,0.95,1.0,1.0
l2j.csv,0.71,0.55,0.8,0.85,0.39,0.81,0.85,0.76,0.86,0.62,0.6,0.88,0.79,0.02,0.66,0.74
megasquirtavr.csv,0.67,1.0,0.0,1.0,0.41,1.0,0.87,0.72,0.87,1.0,1.0,1.0,0.94,0.91,0.77,1.0
stajistics.csv,0.66,0.73,0.69,0.63,0.64,0.79,0.94,0.97,0.69,0.9,0.8,0.8,0.65,0.75,0.03,0.62
trackit.csv,0.56,0.47,0.65,1.0,0.68,0.87,0.04,0.81,0.84,1.03,0.88,0.91,0.81,0.69,0.61,0.81
wxlua.csv,0.92,1.01,0.54,0.85,0.9,0.85,1.0,1.0,0.98,0.0,0.95,0.88,0.88,0.88,0.96,0.84
x4x.csv,0.0,0.49,0.61,0.64,0.66,0.86,0.67,0.64,0.58,0.78,0.51,0.76,0.83,0.86,0.82,0.71
xharbour.csv,0.92,0.0,0.69,0.6,0.71,0.83,0.91,0.92,0.89,0.66,0.86,0.42,0.97,0.94,0.94,0.87
