,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.98,0.44,0.32,0.41,0.67
intact.csv,0.88,0.5,0.22,0.33,0.76
miranda-icq.csv,0.98,0.43,0.44,0.55,0.67
ofbiz.csv,0.85,0.27,0.25,0.43,0.83
roolo.csv,0.87,0.28,0.27,0.61,0.66
