,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.56,0.0,0.0,0.67,0.65,0.31,0.0,0.64,0.1,0.29,0.13,0.75,0.74,0.9,0.63,0.0,0.29
codeblocks.csv,0.49,0.1,0.83,0.38,0.82,0.22,0.38,0.3,0.23,0.48,0.28,0.85,0.91,0.88,0.53,0.1,0.52
ctrlr.csv,0.59,0.0,0.64,0.41,0.56,0.22,0.47,0.21,0.38,0.53,0.17,0.48,0.59,0.85,0.65,0.12,0.6
free-evolution.csv,0.52,0.09,0.77,0.39,0.66,0.2,0.2,0.3,0.23,0.23,0.36,0.67,0.8,0.88,0.54,0.18,0.35
fulguro.csv,0.61,0.07,0.61,0.83,0.57,0.19,0.14,0.27,0.11,0.35,0.16,0.46,0.73,0.8,0.75,0.21,0.26
gisgraphy.csv,0.71,0.0,0.76,0.39,1.0,0.19,0.38,0.28,0.18,0.37,0.27,0.69,0.6,0.8,0.19,0.06,0.75
ipfire-wall.csv,0.59,0.16,0.96,0.5,0.55,0.26,0.16,0.65,0.11,0.31,0.33,0.77,0.7,0.94,0.65,0.12,0.17
jruby.csv,0.46,0.09,0.62,0.0,0.61,0.18,0.0,0.0,0.18,0.22,0.57,0.52,0.78,0.9,0.73,0.0,0.32
l2j.csv,0.51,0.1,0.84,0.43,0.62,0.28,0.22,0.36,0.12,0.21,0.31,0.61,0.81,0.92,0.52,0.15,0.38
ldview.csv,0.48,0.09,0.78,0.48,0.79,0.3,0.2,0.41,0.15,0.45,0.33,0.65,0.72,0.83,0.55,0.12,0.35
libmesh.csv,0.42,0.0,0.73,0.41,0.5,0.18,0.33,0.23,0.11,0.59,0.1,0.32,0.61,0.93,0.63,0.11,0.5
red5.csv,0.51,0.11,0.77,0.36,0.71,0.17,0.28,0.38,0.15,0.4,0.28,0.53,0.76,0.84,0.52,0.12,0.36
t-2.csv,0.45,0.02,0.75,0.32,0.73,0.22,0.38,0.15,0.35,0.61,0.28,0.52,0.77,0.89,0.5,0.12,0.38
tencompetence.csv,0.61,0.09,0.67,0.5,0.47,0.17,0.19,0.57,0.08,0.37,0.17,0.43,0.68,0.86,0.83,0.19,0.14
vdsf.csv,0.56,0.15,0.77,0.4,0.56,0.21,0.17,0.41,0.08,0.35,0.19,0.43,0.71,0.85,0.66,0.24,0.24
xbrlapi.csv,0.68,0.0,0.6,0.5,0.55,0.21,0.29,0.56,0.15,0.25,0.1,0.48,0.56,1.0,0.61,0.23,0.25
xcf.csv,0.49,0.13,0.88,0.5,0.62,0.26,0.28,0.39,0.13,0.35,0.28,0.77,0.82,0.82,0.61,0.15,0.35
