,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.89,0.0,0.0,0.67,0.65,0.54,0.0,0.91,0.99,0.62,0.93,0.88,0.97,0.67,0.73,0.75,0.58
codeblocks.csv,0.42,0.47,0.42,0.5,0.91,0.52,0.62,0.4,0.53,0.67,0.54,0.62,0.74,0.46,0.63,0.43,0.45
ctrlr.csv,0.91,0.0,0.96,0.88,0.89,0.67,0.75,0.93,0.99,0.93,0.97,0.81,0.63,0.91,0.76,0.67,0.93
free-evolution.csv,0.33,0.26,0.46,0.55,0.36,0.45,0.7,0.4,0.46,0.46,0.56,0.39,0.59,0.42,0.43,0.52,0.41
fulguro.csv,0.51,0.44,0.98,0.83,0.38,0.68,0.83,0.87,0.86,0.74,0.87,0.54,0.71,0.95,0.81,0.72,0.45
gisgraphy.csv,0.86,0.0,0.61,0.57,0.8,0.94,0.68,0.42,0.74,0.66,0.58,0.85,0.9,0.9,0.95,0.53,0.75
ipfire-wall.csv,0.55,0.56,0.69,0.5,0.75,0.44,0.84,0.48,0.77,0.92,0.89,0.85,0.52,0.78,0.9,0.56,0.38
jruby.csv,0.5,0.26,0.88,0.0,0.47,0.48,0.0,0.0,0.99,0.89,0.86,0.52,0.7,0.56,0.62,0.0,0.54
l2j.csv,0.42,0.57,0.4,0.39,0.38,0.4,0.48,0.39,0.44,0.41,0.45,0.41,0.47,0.56,0.63,0.46,0.38
ldview.csv,0.41,0.26,0.51,0.63,0.79,0.45,0.93,0.39,0.46,0.64,0.64,0.6,0.51,0.41,0.62,0.47,0.37
libmesh.csv,0.92,0.98,0.97,0.86,0.93,0.85,0.89,0.82,1.0,0.97,0.98,0.86,0.61,0.97,0.89,0.78,0.9
red5.csv,0.36,0.43,0.44,0.51,0.4,0.51,0.47,0.38,0.43,0.6,0.53,0.45,0.44,0.44,0.48,0.41,0.31
t-2.csv,0.76,0.99,0.48,0.59,0.93,0.58,0.92,0.8,0.78,0.94,0.68,0.53,0.98,0.72,0.76,0.84,0.5
tencompetence.csv,0.82,0.47,0.94,0.75,0.84,0.83,0.73,0.86,0.59,0.53,0.75,0.93,0.69,0.75,0.67,0.72,0.64
vdsf.csv,0.45,0.95,0.47,0.67,0.35,0.46,0.6,0.41,0.69,0.52,0.55,0.6,0.42,0.52,0.49,0.62,0.36
xbrlapi.csv,0.47,0.0,0.8,0.75,0.41,0.52,0.86,0.62,0.91,0.55,0.9,0.86,0.98,0.0,0.99,0.53,0.53
xcf.csv,0.46,0.47,0.48,0.45,0.45,0.4,0.62,0.35,0.45,0.54,0.56,0.37,0.65,0.4,0.48,0.44,0.35
