,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.99,0.94,0.88,0.74,0.86,0.76,0.67,0.67,0.6,0.57,0.47,0.31,0.79,0.91,0.52,0.62,0.77,0.49,0.46,0.79
baadengine.csv,0.47,0.36,0.54,0.37,0.4,0.44,0.54,0.35,0.36,0.35,0.44,0.29,0.4,0.35,0.39,0.33,0.35,0.38,0.44,0.45
bibedt.csv,0.98,0.88,0.53,0.59,0.59,0.61,0.57,0.78,0.47,0.88,0.79,0.75,0.83,0.56,0.9,0.88,0.79,0.77,0.81,0.47
cascading.csv,0.43,0.42,0.44,0.47,0.35,0.52,0.58,0.41,0.39,0.65,0.52,0.33,0.5,0.37,0.43,0.42,0.41,0.47,0.6,0.44
dataobjectsdotnet.csv,0.44,0.35,0.48,0.66,0.58,0.89,0.5,0.51,0.98,0.47,0.51,0.79,0.34,0.62,0.53,0.56,0.61,0.64,0.52,0.46
exl.csv,0.62,0.41,0.42,0.47,0.58,0.53,0.55,0.47,0.46,0.82,0.51,0.8,0.38,0.46,0.63,0.54,0.47,0.59,0.93,0.4
gogoego.csv,0.47,0.36,0.43,0.5,0.47,0.54,0.53,0.62,0.38,0.39,0.47,0.5,0.34,0.45,0.45,0.36,0.38,0.46,0.65,0.33
httpcontentparser.csv,0.58,0.48,0.53,0.72,0.45,0.88,0.5,0.45,0.38,0.88,0.67,0.36,0.48,0.46,0.49,0.51,0.54,0.53,0.71,0.47
impala.csv,0.97,0.48,0.96,0.56,0.53,0.55,0.6,0.56,0.53,0.77,0.5,0.71,0.38,0.64,0.95,0.78,0.84,0.8,0.91,0.6
jaxlib.csv,0.59,0.74,0.98,0.54,0.45,0.62,0.54,0.57,0.98,0.61,0.47,0.8,0.64,0.45,0.96,0.72,0.61,0.82,0.62,0.44
jgameai.csv,0.0,0.88,0.5,0.89,0.83,0.76,0.54,0.98,0.95,0.8,0.98,0.89,0.42,0.72,0.0,0.98,0.89,0.97,0.0,0.0
jhotdraw.csv,0.74,0.64,0.46,0.67,0.46,0.7,0.0,0.41,0.83,0.93,0.96,0.56,0.67,0.88,0.58,0.77,0.5,0.8,0.5,0.93
loki-lib.csv,0.78,0.65,0.38,0.43,0.41,0.62,0.56,0.44,0.4,0.39,0.56,0.48,0.5,0.37,0.79,0.48,0.61,0.51,0.47,0.67
patterntesting.csv,0.4,0.36,0.37,0.41,0.37,0.49,0.52,0.36,0.36,0.54,0.46,0.33,0.38,0.36,0.41,0.33,0.4,0.45,0.46,0.45
pokeglobal.csv,0.43,0.39,0.36,0.68,0.43,0.54,0.55,0.51,0.38,0.53,0.57,0.38,0.38,0.52,0.48,0.43,0.46,0.59,0.67,0.5
snakeyaml.csv,0.55,0.63,0.54,0.67,0.55,0.55,0.92,0.75,0.5,0.83,0.59,0.56,0.67,0.89,0.65,0.97,0.59,0.62,0.86,0.38
unflobtactical.csv,0.42,0.41,0.36,0.49,0.49,0.5,0.75,0.52,0.41,0.57,0.51,0.43,0.46,0.37,0.64,0.44,0.43,0.51,0.64,0.46
werx.csv,0.42,0.41,0.37,0.41,0.41,0.49,0.54,0.38,0.36,0.43,0.45,0.3,0.39,0.38,0.41,0.33,0.4,0.43,0.44,0.73
zealos.csv,0.99,0.89,0.97,0.88,0.75,0.91,0.58,0.98,0.98,0.68,0.92,0.64,0.67,0.89,0.67,0.89,0.76,0.95,0.93,0.0
