,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.77,0.62,0.91,0.45,0.4,0.74,0.56,0.64,0.86,0.77,0.62
gabel.csv,0.85,0.74,0.71,0.62,0.27,0.84,0.61,0.82,0.88,0.71,0.8
javaprofiler.csv,0.79,0.81,0.94,0.79,0.66,0.95,0.73,0.85,0.5,0.89,0.45
jmoney.csv,0.22,0.55,0.73,0.64,0.66,0.66,0.69,0.63,0.83,0.64,0.79
mycila.csv,0.62,0.78,0.8,0.97,0.7,0.29,0.72,0.84,0.95,0.98,0.87
neodatis-odb.csv,1.01,0.76,0.43,0.89,0.96,0.74,0.84,0.8,0.72,0.94,0.73
servicestack.csv,1.0,0.79,0.9,1.0,1.0,0.9,0.99,0.98,0.39,1.0,0.99
sqlpower-library.csv,0.79,0.44,0.69,0.74,0.65,0.92,1.0,0.62,0.6,0.86,0.48
synecdoche.csv,0.46,0.85,0.79,1.0,0.62,0.83,0.56,0.71,0.85,0.4,0.86
tmva.csv,0.68,1.0,0.82,0.58,0.88,0.93,0.37,0.98,1.0,0.54,0.96
unicase.csv,0.93,0.77,0.81,0.78,0.65,0.7,0.92,0.47,0.57,0.89,0.99
