,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,12.0,1.0,0.0,11.0,1.0,0.0,0.0,7.0,61.0,0.0,9.0,3.0,10.0,0.0,1.0,0.0,1.0,0.0,5.0,7.0
apertium.csv,6.0,4.0,3.0,5.0,4.0,1.0,0.0,1.0,22.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,3.0
beast-mcmc.csv,0.0,2.0,0.0,11.0,0.0,1.0,0.0,1.0,6.0,0.0,9.0,8.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0
bigdata.csv,5.0,4.0,1.0,22.0,0.0,0.0,1.0,3.0,4.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0
cuberok.csv,15.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,41.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
exist.csv,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,7.0,3.0,0.0,2.0,4.0,0.0,1.0
icescrum.csv,2.0,1.0,3.0,3.0,0.0,1.0,0.0,56.0,4.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0
jbasic.csv,2.0,2.0,0.0,11.0,0.0,0.0,0.0,1.0,9.0,0.0,9.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
jgnash.csv,25.0,2.0,0.0,10.0,2.0,0.0,0.0,56.0,0.0,2.0,5.0,8.0,3.0,6.0,0.0,0.0,2.0,2.0,8.0,0.0
jrefactory.csv,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,17.0,16.0,3.0,4.0,5.0,0.0,2.0,0.0,1.0,2.0,4.0,5.0
jsecurity.csv,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,7.0,1.0,6.0,10.0,0.0,0.0,0.0,3.0,7.0,4.0
libopenmetaverse.csv,10.0,0.0,0.0,10.0,1.0,0.0,0.0,3.0,66.0,0.0,7.0,5.0,9.0,0.0,2.0,0.0,0.0,2.0,4.0,6.0
mobicents.csv,4.0,7.0,2.0,3.0,1.0,0.0,0.0,2.0,27.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
mp-rechnungs-und-kundenverwaltung.csv,11.0,4.0,0.0,35.0,1.0,0.0,0.0,0.0,13.0,0.0,14.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0
opendvr.csv,9.0,1.0,0.0,9.0,1.0,0.0,0.0,4.0,54.0,0.0,7.0,1.0,12.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0
openefm.csv,29.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,22.0,0.0,9.0,7.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0
sidekar.csv,6.0,0.0,0.0,1.0,0.0,5.0,0.0,9.0,19.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
wheat.csv,21.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,28.0,17.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0
wsmt.csv,15.0,10.0,0.0,2.0,1.0,0.0,0.0,4.0,34.0,14.0,7.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
yarp0.csv,6.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,35.0,1.0,19.0,0.0,17.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
