,lazarus-ccr.csv,ikvm.csv,ontomorphtab.csv,xuggle.csv,micomt.csv,les-indemodables.csv,tradelink.csv,elateportal.csv,metacosm.csv
elateportal.csv,0.48,0.4,0.5,0.6,0.38,0.64,0.57,1.0,0.64
ikvm.csv,0.48,0.96,0.43,0.44,0.37,0.13,0.55,0.69,0.13
lazarus-ccr.csv,0.96,0.38,0.63,0.44,0.51,0.0,0.35,0.5,0.66
les-indemodables.csv,0.57,0.58,0.5,0.56,0.43,0.97,0.51,0.17,0.53
metacosm.csv,0.48,0.61,0.33,0.43,0.62,0.51,0.49,0.19,0.97
micomt.csv,0.24,0.44,0.33,0.05,1.0,0.55,0.47,0.0,0.48
ontomorphtab.csv,0.49,0.44,0.98,0.49,0.49,0.5,0.48,0.33,0.62
tradelink.csv,0.14,0.0,0.17,0.3,0.43,0.4,0.87,0.0,0.13
xuggle.csv,0.14,0.27,0.43,0.94,0.18,0.51,0.63,0.58,0.22
