,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.28,0.21,0.06,0.05,0.26,0.45,0.09,0.0,0.15,0.02,0.93
fceugc.csv,0.58,0.39,0.45,0.71,0.52,0.24,0.64,0.54,0.19,0.42,0.68
flexpay.csv,0.42,0.46,0.53,0.19,0.13,0.49,0.41,0.92,0.19,0.44,0.1
jstock.csv,0.09,0.5,0.37,0.24,0.16,0.2,0.29,0.92,0.12,0.31,0.41
keyczar.csv,0.03,0.21,0.01,0.19,0.23,0.13,0.13,0.15,0.23,0.71,0.2
modellus.csv,0.28,0.54,0.57,0.38,0.48,0.77,0.75,0.31,0.38,0.19,0.1
open-data-kit.csv,0.54,0.75,0.78,0.95,0.48,0.9,0.71,0.92,0.62,0.29,1.0
phet.csv,0.65,0.54,0.1,0.29,0.32,0.26,0.54,0.69,0.35,1.0,0.41
qtractor.csv,0.2,0.75,0.54,0.52,0.55,0.76,0.57,0.46,0.38,0.0,0.34
sumatrapdf.csv,0.8,0.82,0.96,0.76,0.77,0.88,0.91,0.77,0.85,0.31,0.8
synergyspace.csv,0.41,0.29,0.7,0.24,0.77,0.52,0.43,0.46,0.58,0.33,0.05
